前一节点,后一节点,线路名称,票价,区域属性
铁塔公园,天伦苑,1路,1,龙亭区
天伦苑,龙亭区委·区政府,1路,1,龙亭区
龙亭区委·区政府,体育场,1路,1,龙亭区
体育场,文昌后街,1路,1,龙亭区
文昌后街,天波杨府·公交三公司,1路,1,龙亭区
天波杨府·公交三公司,清明上河园,1路,1,龙亭区
清明上河园,法院街东口·兴盛德驿站店,1路,1,龙亭区
法院街东口·兴盛德驿站店,龙亭公园,1路,1,龙亭区
龙亭公园,新街口·兴盛德花生老店,1路,1,龙亭区
新街口·兴盛德花生老店,中山路·行宫角,1路,1,龙亭区
中山路·行宫角,大纸坊街口,1路,1,鼓楼区
大纸坊街口,延庆观,1路,1,鼓楼区
延庆观,客运西站,1路,1,鼓楼区
客运西站,大南门外,1路,1,禹王台区
大南门外,中国银行,1路,1,禹王台区
中国银行,二十七中,1路,1,禹王台区
二十七中,火车站,1路,1,禹王台区
,,,,
小李庄公交场站,御景湾,2路,1,龙亭区
御景湾,劳动路·苹果园中路,2路,1,龙亭区
劳动路·苹果园中路,江南人家,2路,1,顺河回族区
江南人家,开封日报社原址,2路,1,顺河回族区
开封日报社原址,劳动路·汴京路,2路,1,顺河回族区
劳动路·汴京路,劳动路南路口,2路,1,顺河回族区
劳动路南路口,节水办,2路,1,顺河回族区
节水办,宋门外,2路,1,顺河回族区
宋门外,宋门里,2路,1,顺河回族区
宋门里,自由路·解放路,2路,1,鼓楼区
自由路·解放路,相国寺,2路,1,鼓楼区
相国寺,小纸坊街口,2路,1,鼓楼区
小纸坊街口,泰山庙,2路,1,鼓楼区
泰山庙,包公湖南路,2路,1,鼓楼区
包公湖南路,包公湖南路·迎宾路,2路,1,鼓楼区
包公湖南路·迎宾路,客运西站,2路,1,鼓楼区
客运西站,西坡南街,2路,1,禹王台区
西坡南街,西坡西街,2路,1,鼓楼区
西坡西街,鼓楼区城管局,2路,1,鼓楼区
鼓楼区城管局,包公祠,2路,1,鼓楼区
包公祠,鼓楼区法院,2路,1,鼓楼区
,,,,
铁塔公园·公交一公司,河大附中,3路,1,顺河回族区
河大附中,河大附中(世宇文慧苑),3路,1,顺河回族区
河大附中(世宇文慧苑),北道门,3路,1,顺河回族区
北道门,右司官口,3路,1,顺河回族区
右司官口,东司门,3路,1,顺河回族区
东司门,学院门,3路,1,龙亭区
学院门,解放路·自由路,3路,1,鼓楼区
解放路·自由路,石油公司,3路,1,鼓楼区
石油公司,小南门外,3路,1,鼓楼区
小南门外,演武厅,3路,1,禹王台区
演武厅,开封高中,3路,1,禹王台区
,,,,
火车站,二十七中,4路,1,禹王台区
二十七中,中国银行,4路,1,禹王台区
中国银行,大南门外,4路,1,禹王台区
大南门外,客运西站,4路,1,禹王台区
客运西站,包公湖南路·迎宾路,4路,1,禹王台区
包公湖南路·迎宾路,包公湖南路,4路,1,鼓楼区
包公湖南路,泰山庙,4路,1,鼓楼区
泰山庙,小纸坊街口,4路,1,鼓楼区
小纸坊街口,相国寺,4路,1,鼓楼区
相国寺,解放路·自由路,4路,1,鼓楼区
解放路·自由路,学院门,4路,1,鼓楼区
学院门,汴京桥,4路,1,鼓楼区
汴京桥,汴京公园,4路,1,顺河回族区
汴京公园,汴京路·劳动路,4路,1,顺河回族区
汴京路·劳动路,供水总公司,4路,1,顺河回族区
供水总公司,化健生活区,4路,1,顺河回族区
化健生活区,开封市人民医院,4路,1,顺河回族区
开封市人民医院,客运东站,4路,1,顺河回族区
,,,,
二十七中,中国银行,5路,1,禹王台区
中国银行,泰山庙,5路,1,禹王台区
泰山庙,小纸坊街口,5路,1,鼓楼区
小纸坊街口,相国寺,5路,1,鼓楼区
相国寺,自由路·解放路,5路,1,鼓楼区
自由路·解放路,宋门里,5路,1,鼓楼区
宋门里,宋门外,5路,1,鼓楼区
宋门外,节水办,5路,1,顺河回族区
节水办,大花园,5路,1,顺河回族区
大花园,化肥厂,5路,1,顺河回族区
化肥厂,工农路,5路,1,顺河回族区
工农路,氨水站,5路,1,顺河回族区
氨水站,边村,5路,1,顺河回族区
边村,康拜因生活区,5路,1,顺河回族区
康拜因生活区,六四六,5路,1,顺河回族区
六四六,张庄,5路,1,顺河回族区
张庄,土柏岗,5路,1,顺河回族区
土柏岗,火电厂,5路,1,顺河回族区
火电厂,宏达大道,5路,1,顺河回族区
,,,,
小马庄,修防段,6路,1,龙亭区
修防段,梅庄,6路,1,龙亭区
梅庄,王周庄,6路,1,龙亭区
王周庄,牛庄,6路,1,龙亭区
牛庄,卜里寨,6路,1,龙亭区
卜里寨,护城堤,6路,1,龙亭区
护城堤,私坊院,6路,1,龙亭区
私坊院,十七中,6路,1,龙亭区
十七中,复兴大道(临时站),6路,1,龙亭区
复兴大道(临时站),劳动路北段(临时站),6路,1,龙亭区
劳动路北段(临时站),东京大道东段,6路,1,龙亭区
东京大道东段,铁塔公园公交一公司,6路,1,龙亭区
,,,,
310国道·榆杏大道,杏花营·榆园新村,7路,1,龙亭区
杏花营·榆园新村,正大孵化厂,7路,1,龙亭区
正大孵化厂,广砦,7路,1,龙亭区
广砦,临时站,7路,1,龙亭区
临时站,临时站(豫龙驾校),7路,1,龙亭区
临时站(豫龙驾校),检测中心,7路,1,龙亭区
检测中心,95982部队,7路,1,鼓楼区
95982部队,刘寺,7路,1,鼓楼区
刘寺,开封市第五人民医院,7路,1,鼓楼区
开封市第五人民医院,制漆总厂,7路,1,鼓楼区
制漆总厂,小王屯,7路,1,鼓楼区
小王屯,小汪屯桥,7路,1,鼓楼区
小汪屯桥,华夏大道·酒厂西路,7路,1,鼓楼区
华夏大道·酒厂西路,五一路·华夏大道,7路,1,鼓楼区
五一路·华夏大道,五一路立交桥,7路,1,鼓楼区
五一路立交桥,五福路口,7路,1,鼓楼区
五福路口,医院前街西口,7路,1,鼓楼区
医院前街西口,一木,7路,1,鼓楼区
一木,客运西站,7路,1,鼓楼区
客运西站,开封市眼病医院,7路,1,鼓楼区
开封市眼病医院,行宫角,7路,1,鼓楼区
行宫角,鼓楼广场,7路,1,鼓楼区
鼓楼广场,学院门,7路,1,鼓楼区
学院门,汴京桥,7路,1,鼓楼区
汴京桥,汴京公园,7路,1,顺河回族区
汴京公园,公园路·汴京路,7路,1,顺河回族区
公园路·汴京路,宋门外,7路,1,顺河回族区
宋门外,节水办,7路,1,顺河回族区
节水办,大花园,7路,1,顺河回族区
大花园,化肥厂,7路,1,顺河回族区
化肥厂,工农路,7路,1,顺河回族区
工农路,公交四公司,7路,1,顺河回族区
公交四公司,客运东站,7路,1,顺河回族区
,,,,
开封北站,东京大道三大街,8路,1,龙亭区
东京大道三大街,东京大道二大街,8路,1,龙亭区
东京大道二大街,东京大道一大街,8路,1,龙亭区
东京大道一大街,东京大桥,8路,1,龙亭区
东京大桥,天马广场,8路,1,龙亭区
天马广场,河大新校区北门,8路,1,龙亭区
河大新校区北门,夷山大街·东京大道,8路,1,龙亭区
夷山大街·东京大道,夷山大街·复兴大道,8路,1,龙亭区
夷山大街·复兴大道,复兴大道·黄河大街,8路,1,龙亭区
复兴大道·黄河大街,西环路·复兴大街,8路,1,龙亭区
西环路·复兴大街,香格里拉东门,8路,1,龙亭区
香格里拉东门,西环路·东京大道,8路,1,龙亭区
西环路·东京大道,城市花园,8路,1,龙亭区
城市花园,省一监,8路,1,龙亭区
省一监,小北岗生活区,8路,1,龙亭区
小北岗生活区,西环路·育新街,8路,1,龙亭区
西环路·育新街,西环路·大梁路,8路,1,龙亭区
西环路·大梁路,马市街,8路,1,龙亭区
马市街,西环城路晋安路,8路,1,龙亭区
西环城路晋安路,包公祠,8路,1,龙亭区
包公祠,西司桥,8路,1,鼓楼区
西司桥,开封市眼病医院,8路,1,鼓楼区
开封市眼病医院,行宫角,8路,1,鼓楼区
行宫角,行宫角(宝视达眼镜),8路,1,鼓楼区
行宫角(宝视达眼镜),小纸坊街口,8路,1,鼓楼区
小纸坊街口,泰山庙,8路,1,鼓楼区
泰山庙,内环路西段,8路,1,鼓楼区
内环路西段,羊市桥,8路,1,鼓楼区
羊市桥,市卫校,8路,1,禹王台区
市卫校,农机岗,8路,1,顺河回族区
农机岗,钢材市场,8路,1,顺河回族区
钢材市场,侯庄桥,8路,1,禹王台区
侯庄桥,禹王台西门,8路,1,禹王台区
禹王台西门,铁北街,8路,1,禹王台区
铁北街,开封高中,8路,1,禹王台区
,,,,
内环路·公交五公司,汴京桥,9路,1,鼓楼区
汴京桥,汴京公园,9路,1,顺河回族区
汴京公园,公园路·汴京路,9路,1,顺河回族区
公园路·汴京路,宋门外,9路,1,顺河回族区
宋门外,节水办,9路,1,顺河回族区
节水办,大花园,9路,1,顺河回族区
大花园,重工路南口,9路,1,顺河回族区
重工路南口,东货场,9路,1,顺河回族区
东货场,市政机械厂,9路,1,顺河回族区
市政机械厂,羊尾铺,9路,1,顺河回族区
羊尾铺,汽车配件公司,9路,1,顺河回族区
汽车配件公司,百塔,9路,1,顺河回族区
百塔,城东粮食储备库,9路,1,顺河回族区
城东粮食储备库,皮屯,9路,1,顺河回族区
皮屯,祥符区西口,9路,1,顺河回族区
祥符区西口,青年路口,9路,1,祥符区
青年路口,祥符市场,9路,1,祥符区
祥符市场,祥符大道·园区路,9路,1,祥符区
祥符大道·园区路,祥符大道南口,9路,1,祥符区
,,,,
三里堡,开封市肿瘤医院,10路,1,禹王台区
开封市肿瘤医院,五福路西口,10路,1,禹王台区
