节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
徐州站,云龙区,1路,0,0,1
万虹桥电子市场,鼓楼区,1路,5,2,11
供销大厦,鼓楼区,1路,5,1,7
古彭大厦,泉山区,1路,4,3,6
市二院,泉山区,1路,2,2,7
工人医院市口腔医院,泉山区,1路,2,1,3
矿务局华美商厦,泉山区,1路,0,0,1
段庄,泉山区,1路,0,0,0
六院,泉山区,1路,0,0,0
段南新村,泉山区,1路,0,0,0
公交修造厂,泉山区,1路,0,0,0
市中级法院,泉山区,1路,0,0,0
淮西客运站,泉山区,1路,1,0,1
荣盛城一期,泉山区,1路,0,0,2
荣盛城二期,泉山区,1路,1,1,0
第三十一中学(荣盛城分校),泉山区,1路,0,0,1
荣盛城西,泉山区,1路,0,0,0
杏山子地铁站,泉山区,1路,0,0,0
箐英路,泉山区,1路,0,0,0
箐英路(尚和园),泉山区,1路,0,0,0
开元四季,泉山区,1路,0,0,0
杏山子公交首末站,泉山区,1路,0,0,0
,,,,,
西苑人家,鼓楼区,K2路,0,0,0
民乐园,泉山区,K2路,0,0,0
西苑农贸市场,泉山区,K2路,0,0,0
西苑东口,泉山区,K2路,0,0,0
水漫桥,泉山区,K2路,0,0,0
沈场市场,泉山区,K2路,0,0,0
合群新村,泉山区,K2路,0,0,0
苏堤北路立交桥,鼓楼区,K2路,0,0,0
和园爱家,鼓楼区,K2路,0,0,0
空军后勤学院,鼓楼区,K2路,0,0,0
九龙湖公园,鼓楼区,K2路,0,0,0
港南小区,鼓楼区,K2路,0,0,0
建材中专,鼓楼区,K2路,0,0,0
地质五队宿舍,鼓楼区,K2路,0,0,0
堤北市场,鼓楼区,K2路,0,0,0
下淀桥西,鼓楼区,K2路,0,0,0
白云山,鼓楼区,K2路,0,0,0
二七宿舍,鼓楼区,K2路,0,0,0
大庆路,鼓楼区,K2路,0,0,0
响山南路,云龙区,K2路,0,0,0
奥运城,云龙区,K2路,0,0,0
王杰部队,云龙区,K2路,0,0,0
九七医院,云龙区,K2路,0,0,0
城东快速路(振兴大道),贾汪区,K2路,0,0,0
徐州东站北,贾汪区,K2路,0,0,0
徐州东站(东广场),贾汪区,K2路,0,0,0
,,,,,
徐州乐园,泉山区,双层观光巴士旅游线,0,0,0
矿大南湖校区北门,泉山区,双层观光巴士旅游线,0,0,0
金山公园,泉山区,双层观光巴士旅游线,0,0,0
云龙山索道,泉山区,双层观光巴士旅游线,0,0,0
云龙湖旅游风景区,泉山区,双层观光巴士旅游线,0,0,2
云龙山,泉山区,双层观光巴士旅游线,4,0,4
