前一节点,后一节点,线路名称,票价,区域属性,间距(km)
徐州站,万虹桥电子市场,1路,2,云龙区,
万虹桥电子市场,供销大厦,1路,2,鼓楼区,
供销大厦,古彭大厦,1路,2,鼓楼区,
古彭大厦,市二院,1路,2,泉山区,
市二院,工人医院市口腔医院,1路,2,泉山区,
工人医院市口腔医院,矿务局华美商厦,1路,2,泉山区,
矿务局华美商厦,段庄,1路,2,泉山区,
段庄,六院,1路,2,泉山区,
六院,段南新村,1路,2,泉山区,
段南新村,公交修造厂,1路,2,泉山区,
公交修造厂,市中级法院,1路,2,泉山区,
市中级法院,淮西客运站,1路,2,泉山区,
淮西客运站,荣盛城一期,1路,2,泉山区,
荣盛城一期,荣盛城二期,1路,2,泉山区,
荣盛城二期,第三十一中学(荣盛城分校),1路,2,泉山区,
第三十一中学(荣盛城分校),荣盛城西,1路,2,泉山区,
荣盛城西,杏山子地铁站,1路,2,泉山区,
杏山子地铁站,箐英路,1路,2,泉山区,
箐英路,箐英路(尚和园),1路,2,泉山区,
箐英路(尚和园),开元四季,1路,2,泉山区,
开元四季,杏山子公交首末站,1路,2,泉山区,
,,,,,
西苑人家,民乐园,K2路,2,鼓楼区,
民乐园,西苑农贸市场,K2路,2,泉山区,
西苑农贸市场,西苑东口,K2路,2,泉山区,
西苑东口,水漫桥,K2路,2,泉山区,
水漫桥,沈场市场,K2路,2,泉山区,
沈场市场,合群新村,K2路,2,泉山区,
合群新村,苏堤北路立交桥,K2路,2,泉山区,
苏堤北路立交桥,和园爱家,K2路,2,鼓楼区,
和园爱家,空军后勤学院,K2路,2,鼓楼区,
空军后勤学院,九龙湖公园,K2路,2,鼓楼区,
九龙湖公园,港南小区,K2路,2,鼓楼区,
港南小区,建材中专,K2路,2,鼓楼区,
建材中专,地质五队宿舍,K2路,2,鼓楼区,
地质五队宿舍,堤北市场,K2路,2,鼓楼区,
堤北市场,下淀桥西,K2路,2,鼓楼区,
下淀桥西,白云山,K2路,2,鼓楼区,
白云山,二七宿舍,K2路,2,鼓楼区,
二七宿舍,大庆路,K2路,2,鼓楼区,
大庆路,响山南路,K2路,2,鼓楼区,
响山南路,奥运城,K2路,2,云龙区,
奥运城,王杰部队,K2路,2,云龙区,
王杰部队,九七医院,K2路,2,云龙区,
九七医院,城东快速路(振兴大道),K2路,2,云龙区,
城东快速路(振兴大道),徐州东站北,K2路,2,贾汪区,
徐州东站北,徐州东站(东广场),K2路,2,贾汪区,
,,,,,
徐州乐园,矿大南湖校区北门,双层观光巴士旅游线,2,泉山区,
矿大南湖校区北门,金山公园,双层观光巴士旅游线,2,泉山区,
金山公园,云龙山索道,双层观光巴士旅游线,2,泉山区,
云龙山索道,云龙湖旅游风景区,双层观光巴士旅游线,2,泉山区,
云龙湖旅游风景区,云龙山,双层观光巴士旅游线,2,泉山区,
云龙山,云龙山东,双层观光巴士旅游线,2,泉山区,
云龙山东,积翠新村,双层观光巴士旅游线,2,云龙区,
积翠新村,南京银行,双层观光巴士旅游线,2,云龙区,
南京银行,戏马台,双层观光巴士旅游线,2,云龙区,
戏马台,户部山地铁站,双层观光巴士旅游线,2,云龙区,
户部山地铁站,云龙医院,双层观光巴士旅游线,2,云龙区,
云龙医院,彭城饭店,双层观光巴士旅游线,2,云龙区,
彭城饭店,供销大厦,双层观光巴士旅游线,2,云龙区,
供销大厦,万虹桥电子市场,双层观光巴士旅游线,2,云龙区,
万虹桥电子市场,徐州站,双层观光巴士旅游线,2,云龙区,
,,,,,
徐州站,徐州站(朝阳),3路,2,云龙区,
徐州站(朝阳),四道街,3路,2,鼓楼区,
四道街,地下道,3路,2,鼓楼区,
地下道,二七宿舍,3路,2,鼓楼区,
二七宿舍,白云山,3路,2,鼓楼区,
白云山,下淀瑞博医院,3路,2,鼓楼区,
下淀瑞博医院,下淀地铁站,3路,2,鼓楼区,
下淀地铁站,二九宿舍,3路,2,鼓楼区,
二九宿舍,徐州物资市场,3路,2,鼓楼区,
徐州物资市场,徐州京阜心血管医院,3路,2,鼓楼区,
徐州京阜心血管医院,杨庄,3路,2,鼓楼区,
杨庄,二十四中,3路,2,鼓楼区,
二十四中,基桩公司,3路,2,鼓楼区,
基桩公司,今日彩印,3路,2,鼓楼区,
今日彩印,省经贸学校,3路,2,鼓楼区,
省经贸学校,石桥,3路,2,鼓楼区,
石桥,金山桥公交停车场,3路,2,鼓楼区,
金山桥公交停车场,杨山路公交首末站,3路,2,鼓楼区,
杨山路公交首末站,蟠桃花园,3路,2,鼓楼区,
蟠桃花园,万豪绿城,3路,2,鼓楼区,
万豪绿城,西贺农贸市场,3路,2,鼓楼区,
西贺农贸市场,晓山社区,3路,2,贾汪区,
晓山社区,坡里花园,3路,2,贾汪区,
坡里花园,东贺花园,3路,2,贾汪区,
东贺花园,徐州医科大学附属医院东院,3路,2,贾汪区,
徐州医科大学附属医院东院,徐州东站(西广场),3路,2,贾汪区,
徐州东站(西广场),徐州东站(东广场),3路,2,贾汪区,
,,,,,
彭城饭店,云龙医院,14路,2,云龙区,
云龙医院,建国小区,14路,2,云龙区,
建国小区,恩华大厦,14路,2,云龙区,
恩华大厦,袁桥,14路,2,云龙区,
袁桥,和平桥,14路,2,云龙区,
和平桥,积水坝,14路,2,云龙区,
积水坝,星晨妇儿医院,14路,2,云龙区,
星晨妇儿医院,农副产品市场,14路,2,云龙区,
农副产品市场,陶瓷市场,14路,2,云龙区,
陶瓷市场,东盛汽车城,14路,2,云龙区,
东盛汽车城,淮海文博园,14路,2,云龙区,
淮海文博园,欣欣路,14路,2,云龙区,
欣欣路,两山口,14路,2,云龙区,
两山口,彭祖大道,14路,2,云龙区,
彭祖大道,淮海国际汽车城,14路,2,云龙区,
淮海国际汽车城,惠民公园,14路,2,云龙区,
惠民公园,楚韵路,14路,2,云龙区,
楚韵路,惠民小区北门,14路,2,云龙区,
惠民小区北门,惠民小区东门,14路,2,云龙区,
惠民小区东门,潘塘小学,14路,2,云龙区,
潘塘小学,惠民农行,14路,2,云龙区,
惠民农行,丁庄广场,14路,2,云龙区,
丁庄广场,惠民管委会,14路,2,云龙区,
惠民管委会,潘塘医院,14路,2,云龙区,
潘塘医院,云龙科技谷,14路,2,云龙区,
云龙科技谷,检验检测小镇公交首末站,14路,2,云龙区,
,,,,,
徐州乐园,紫薇岛,旅游公交专线内环,2,泉山区,
紫薇岛,秋韵园,旅游公交专线内环,2,泉山区,
秋韵园,开元名都,旅游公交专线内环,2,泉山区,
开元名都,淮西客运站,旅游公交专线内环,2,泉山区,
淮西客运站,金港大酒店,旅游公交专线内环,2,泉山区,
金港大酒店,汉纳国际演义中心,旅游公交专线内环,2,泉山区,
汉纳国际演义中心,云龙公园西门,旅游公交专线内环,2,泉山区,
云龙公园西门,云龙山西门,旅游公交专线内环,2,泉山区,
云龙山西门,彭园西门,旅游公交专线内环,2,泉山区,
彭园西门,康居小区,旅游公交专线内环,2,泉山区,
康居小区,淮塔北门,旅游公交专线内环,2,泉山区,
淮塔北门,淮塔南门,旅游公交专线内环,2,泉山区,
淮塔南门,大学城,旅游公交专线内环,2,泉山区,
大学城,营房西门,旅游公交专线内环,2,泉山区,
营房西门,泉山森林公园,旅游公交专线内环,2,泉山区,
泉山森林公园,茶棚,旅游公交专线内环,2,泉山区,
茶棚,金山村,旅游公交专线内环,2,泉山区,
金山村,南湖水街,旅游公交专线内环,2,泉山区,
南湖水街,天师广场,旅游公交专线内环,2,泉山区,
天师广场,望湖阁游客中心,旅游公交专线内环,2,泉山区,
望湖阁游客中心,徐州乐园,旅游公交专线内环,2,泉山区,
,,,,,
铜山新区总站,铜山区政府,11路,2,铜山区,
铜山区政府,铜山交通局,11路,2,铜山区,
铜山交通局,郑集中学城区分校,11路,2,铜山区,
郑集中学城区分校,铜山二堡,11路,2,铜山区,
铜山二堡,徐州农商银行,11路,2,铜山区,
徐州农商银行,港鑫城,11路,2,铜山区,
港鑫城,玉泉河地铁站,11路,2,铜山区,
玉泉河地铁站,万科新都会,11路,2,铜山区,
万科新都会,铜山万达,11路,2,铜山区,
铜山万达,医药高职校,11路,2,铜山区,
医药高职校,翟山地铁站,11路,2,铜山区,
翟山地铁站,翟山,11路,2,泉山区,
翟山,三环南路地铁站(北京路),11路,2,泉山区,
三环南路地铁站(北京路),矿业大学,11路,2,泉山区,
矿业大学,科技广场,11路,2,泉山区,
科技广场,侯山窝,11路,2,泉山区,
侯山窝,奎园西门,11路,2,泉山区,
奎园西门,纪念塔,11路,2,泉山区,
纪念塔,市四院,11路,2,泉山区,
市四院,南京银行,11路,2,泉山区,
南京银行,师大北门,11路,2,泉山区,
师大北门,中医院,11路,2,泉山区,
中医院,中山饭店,11路,2,泉山区,
中山饭店,中山南路(中枢街),11路,2,泉山区,
中山南路(中枢街),供销大厦,11路,2,鼓楼区,
供销大厦,万虹桥电子市场,11路,2,鼓楼区,
万虹桥电子市场,徐州站,11路,2,云龙区,
,,,,,
文化宫,彭城广场,17路,2,云龙区,
彭城广场,金帝商都,17路,2,鼓楼区,
金帝商都,夹河街东口,17路,2,鼓楼区,
夹河街东口,第一中学,17路,2,泉山区,
第一中学,徐州博爱口腔医院,17路,2,泉山区,
徐州博爱口腔医院,黄河新村,17路,2,泉山区,
黄河新村,合群桥,17路,2,泉山区,
合群桥,合群新村,17路,2,泉山区,
合群新村,沈场市场,17路,2,泉山区,
沈场市场,华润小区,17路,2,泉山区,
华润小区,豪绅嘉苑,17路,2,鼓楼区,
豪绅嘉苑,三新庄,17路,2,鼓楼区,
三新庄,机修厂,17路,2,鼓楼区,
机修厂,中煤四处,17路,2,鼓楼区,
中煤四处,四处四院,17路,2,鼓楼区,
四处四院,四处东苑,17路,2,鼓楼区,
四处东苑,万科城,17路,2,鼓楼区,
万科城,万科城北,17路,2,鼓楼区,
万科城北,天齐,17路,2,鼓楼区,
天齐,九里新苑(天齐北路),17路,2,鼓楼区,
九里新苑(天齐北路),杨屯中(小)学,17路,2,鼓楼区,
杨屯中(小)学,杨屯,17路,2,鼓楼区,
杨屯,周屯,17路,2,鼓楼区,
周屯,大周屯,17路,2,鼓楼区,
,,,,,
淮西客运站,市中级法院,18路,2,泉山区,
市中级法院,公交修造厂,18路,2,泉山区,
公交修造厂,湖滨新村西,18路,2,泉山区,
湖滨新村西,湖滨新村,18路,2,泉山区,
湖滨新村,湖滨路口(湖滨路),18路,2,泉山区,
湖滨路口(湖滨路),段庄(二环西路),18路,2,泉山区,
段庄(二环西路),煤建西路,18路,2,泉山区,
煤建西路,矿物局南,18路,2,泉山区,
矿物局南,永安广场,18路,2,泉山区,
永安广场,市二院南,18路,2,泉山区,
市二院南,解放桥,18路,2,泉山区,
解放桥,云龙医院,18路,2,泉山区,
云龙医院,建国小区,18路,2,云龙区,
建国小区,宣武市场(建国东路),18路,2,云龙区,
宣武市场(建国东路),天桥东,18路,2,云龙区,
天桥东,王杰部队,18路,2,云龙区,
王杰部队,九七医院,18路,2,云龙区,
九七医院,铜山路口,18路,2,云龙区,
铜山路口,黄山市场,18路,2,云龙区,
黄山市场,黄山新村,18路,2,云龙区,
黄山新村,黄山新村东,18路,2,云龙区,
黄山新村东,民祥园路,18路,2,云龙区,
民祥园路,云龙区政府西,18路,2,云龙区,
云龙区政府西,云龙区政府,18路,2,云龙区,
云龙区政府,和平妇产医院(香溪路),18路,2,云龙区,
和平妇产医院(香溪路),尚仕名邸,18路,2,云龙区,
,,,,,
苹果汇邻湾,轻工路口,19路,2,鼓楼区,
轻工路口,电力医院,19路,2,鼓楼区,
电力医院,堤北农贸市场,19路,2,鼓楼区,
堤北农贸市场,堤北,19路,2,鼓楼区,
堤北,爱牙医院,19路,2,鼓楼区,
爱牙医院,民主路小学,19路,2,鼓楼区,
民主路小学,苏宁广场东,19路,2,鼓楼区,
苏宁广场东,户部山地铁站,19路,2,鼓楼区,
户部山地铁站,戏马台,19路,2,云龙区,
戏马台,南京银行,19路,2,云龙区,
南京银行,市四院,19路,2,云龙区,
市四院,纪念塔,19路,2,泉山区,
纪念塔,奎园西门,19路,2,泉山区,
奎园西门,侯山窝,19路,2,泉山区,
侯山窝,矿业大学,19路,2,泉山区,
矿业大学,三环南路地铁站(北京路),19路,2,泉山区,
三环南路地铁站(北京路),翟山,19路,2,泉山区,
翟山,翟山地铁站,19路,2,泉山区,
翟山地铁站,铜山中学,19路,2,泉山区,
铜山中学,建筑学院(上海路口),19路,2,铜山区,
建筑学院(上海路口),江苏师范大学,19路,2,铜山区,
江苏师范大学,师范学校,19路,2,铜山区,
师范学校,新区邮电局,19路,2,铜山区,
新区邮电局,新区国税局,19路,2,铜山区,
新区国税局,铜山中医院,19路,2,铜山区,
铜山中医院,康乐园,19路,2,铜山区,
康乐园,科技创业大厦,19路,2,铜山区,
科技创业大厦,铜山区政府(长江西路),19路,2,铜山区,
铜山区政府(长江西路),万和佳苑,19路,2,铜山区,
万和佳苑,嵩山路,19路,2,铜山区,
嵩山路,铜山新区总站,19路,2,铜山区,
,,,,,
徐州站,万虹桥电子市场,20路,2,云龙区,
万虹桥电子市场,民主南路,20路,2,云龙区,
民主南路,建国小区,20路,2,云龙区,
建国小区,户部山地铁站,20路,2,云龙区,
户部山地铁站,戏马台,20路,2,云龙区,
戏马台,南京银行,20路,2,云龙区,
南京银行,市四院,20路,2,云龙区,
市四院,纪念塔,20路,2,泉山区,
纪念塔,奎园北门,20路,2,泉山区,
奎园北门,农副产品市场,20路,2,泉山区,
农副产品市场,陶瓷市场,20路,2,泉山区,
陶瓷市场,东盛汽车城,20路,2,泉山区,
