节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
亚联公交停车场,,1路,0
亚联批发市场,,1路,0
汤汪医院,,1路,0
汤汪花园,,1路,0
连运小区南,,1路,0
连运路渡江南路,,1路,0
渡江南路连运西路,,1路,0
连运小区西门,,1路,0
奥邦公园,,1路,0
七里河公园,,1路,0
渡江南路江阳东路,,1路,0
福运门,,1路,0
渡江桥,,1路,10
育才小学,,1路,4
苏北医院,,1路,4
仙鹤寺,,1路,7
石塔寺,,1路,3
大学北路北,,1路,0
双桥,,1路,0
石桥,,1路,0
扬州友好医院,,1路,0
锦绣花园,,1路,0
紫薇苑,,1路,0
雍华府,,1路,0
来鹤台广场,,1路,0
百祥路,,1路,0
市人防,,1路,0
爱尔新视力眼科医院,,1路,0
扬州职大,,1路,0
翠岗路西,,1路,0
市委党校北门,,1路,0
市委党校,,1路,0
文化艺术中心,,1路,0
体育公园,,1路,0
文昌西路站南路东,,1路,0
,,,
西部客运枢纽(扬州火车站西),,K2路,0
扬州火车站,,K2路,0
京华城南门,,K2路,0
五彩世界南,,K2路,0
市公安局,,K2路,0
润扬中路文汇西路,,K2路,0
红星美凯龙东,,K2路,0
江阳西路邗江中路,,K2路,0
恒安标准人寿,,K2路,0
江阳中路大学南路,,K2路,0
工人新村,,K2路,0
东花园,,K2路,1
武警医院,,K2路,0
运河北路文昌中路,,K2路,0
文昌花园公交首末站,,K2路,0
,,,
东部客运枢纽,,K3路,0
天顺花园北门,,K3路,0
工人疗养院,,K3路,0
运河水庭,,K3路,0
盐亭子小区,,K3路,0
恒大帝景,,K3路,0
新城吾悦广场,,K3路,1
瘦西湖景苑西门,,K3路,0
三星花园西门,,K3路,0
江都北路北,,K3路,0
江平东路江都北路,,K3路,0
江平东路黄金坝路,,K3路,0
佳家如意园,,K3路,0
江平东路瘦西湖路,,K3路,0
雷塘,,K3路,0
江平东路平山路,,K3路,0
江平东路扬子江北路,,K3路,0
江平西路司徒庙路,,K3路,1
汇锦花苑北门,,K3路,0
维扬中学,,K3路,0
汇锦花苑西,,K3路,0
唐悦国际社区(蜀秀花园西),,K3路,0
润蜀路华严路,,K3路,0
南师附小,,K3路,0
邗江中学新校区,,K3路,0
润蜀南路西,,K3路,0
西部客运枢纽(扬州火车站西),,K3路,0
,,,
公交三公司,,5路,0
扬子江北路荷叶路南,,5路,0
小官桥,,5路,0
蜀冈东路扬子江北路东,,5路,0
罗思韦尔,,5路,0
国联制衣厂,,5路,0
养怡花园,,5路,0
江阳创业园,,5路,0
朱塘小区,,5路,0
双塘东路,,5路,0
蜀景花园,,5路,0
江阳商贸城,,5路,0
扬子江北路江平东路,,5路,0
扬子江北路司徒庙路南,,5路,0
鉴真路,,5路,1
蜀冈西峰,,5路,1
二十四桥,,5路,4
瘦西湖西门,,5路,3
念四新村,,5路,0
梅庄新村,,5路,0
人民大厦,,5路,0
西门,,5路,0
石塔寺,,5路,3
仙鹤寺,,5路,7
苏北医院,,5路,4
荷花池公园,,5路,2
通扬桥东,,5路,0
工人新村,,5路,0
江阳东路金鱼塘路,,5路,0
联谊路东花园街南,,5路,0
东花园小区,,5路,0
刘庄,,5路,0
正泰花苑,,5路,0
汤汪医院,,5路,0
汤汪花园,,5路,0
连运小区南,,5路,0
连运路渡江南路,,5路,0
连运西路,,5路,0
九龙花园,,5路,0
杉湾花园公交首末站,,5路,0
,,,
扬州发电有限公司,,6路,0
董桥,,6路,0
月明东苑,,6路,0
月明苑,,6路,0
竹西文化广场,,6路,0
瘦西湖景苑,,6路,0
瘦西湖新苑,,6路,0
惠民医院,,6路,0
鸿福二村,,6路,0
扬州考试院,,6路,0
邗沟路,,6路,0
公路处,,6路,0
漕河桥,,6路,2
凤凰桥,,6路,2
友谊广场,,6路,2
迎宾馆,,6路,3
瘦西湖,,6路,6
文昌阁,,6路,4
仙鹤寺,,6路,7
苏北医院,,6路,4
育才小学,,6路,5
渡江桥,,6路,10
七二三所,,6路,8
徐凝门桥南,,6路,1
东花园,,6路,0
施井小区西,,6路,0
东方丽景,,6路,0
东花园泵站,,6路,0
正泰花苑,,6路,0
大陈巷,,6路,0
联谊路,,6路,0
联谊路加气站,,6路,0
汤汪花园,,6路,0
连运小区南,,6路,0
连运路渡江南路,,6路,0
食品产业园公交首末站,,6路,0
,,,
高力家居港,,8路,0
江阳西路祥园路,,8路,0
上方公馆,,8路,0
