前一节点,后一节点,线路名称,票价,区域属性
亚联公交停车场,亚联批发市场,1路,2,
亚联批发市场,汤汪医院,1路,2,
汤汪医院,汤汪花园,1路,2,
汤汪花园,连运小区南,1路,2,
连运小区南,连运路渡江南路,1路,2,
连运路渡江南路,渡江南路连运西路,1路,2,
渡江南路连运西路,连运小区西门,1路,2,
连运小区西门,奥邦公园,1路,2,
奥邦公园,七里河公园,1路,2,
七里河公园,渡江南路江阳东路,1路,2,
渡江南路江阳东路,福运门,1路,2,
福运门,渡江桥,1路,2,
渡江桥,育才小学,1路,2,
育才小学,苏北医院,1路,2,
苏北医院,仙鹤寺,1路,2,
仙鹤寺,石塔寺,1路,2,
石塔寺,大学北路北,1路,2,
大学北路北,双桥,1路,2,
双桥,石桥,1路,2,
石桥,扬州友好医院,1路,2,
扬州友好医院,锦绣花园,1路,2,
锦绣花园,紫薇苑,1路,2,
紫薇苑,雍华府,1路,2,
雍华府,来鹤台广场,1路,2,
来鹤台广场,百祥路,1路,2,
百祥路,市人防,1路,2,
市人防,爱尔新视力眼科医院,1路,2,
爱尔新视力眼科医院,扬州职大,1路,2,
扬州职大,翠岗路西,1路,2,
翠岗路西,市委党校北门,1路,2,
市委党校北门,市委党校,1路,2,
市委党校,文化艺术中心,1路,2,
文化艺术中心,体育公园,1路,2,
体育公园,文昌西路站南路东,1路,2,
文昌西路站南路东,西部客运枢纽(扬州火车站西),1路,2,
,,,,
西部客运枢纽(扬州火车站西),扬州火车站,K2路,2,
扬州火车站,京华城南门,K2路,2,
京华城南门,五彩世界南,K2路,2,
五彩世界南,市公安局,K2路,2,
市公安局,润扬中路文汇西路,K2路,2,
润扬中路文汇西路,红星美凯龙东,K2路,2,
红星美凯龙东,江阳西路邗江中路,K2路,2,
江阳西路邗江中路,恒安标准人寿,K2路,2,
恒安标准人寿,江阳中路大学南路,K2路,2,
江阳中路大学南路,工人新村,K2路,2,
工人新村,东花园,K2路,2,
东花园,武警医院,K2路,2,
武警医院,运河北路文昌中路,K2路,2,
运河北路文昌中路,文昌花园公交首末站,K2路,2,
,,,,
东部客运枢纽,天顺花园北门,K3路,2,
天顺花园北门,工人疗养院,K3路,2,
工人疗养院,运河水庭,K3路,2,
运河水庭,盐亭子小区,K3路,2,
盐亭子小区,恒大帝景,K3路,2,
恒大帝景,新城吾悦广场,K3路,2,
新城吾悦广场,瘦西湖景苑西门,K3路,2,
瘦西湖景苑西门,三星花园西门,K3路,2,
三星花园西门,江都北路北,K3路,2,
江都北路北,江平东路江都北路,K3路,2,
江平东路江都北路,江平东路黄金坝路,K3路,2,
江平东路黄金坝路,佳家如意园,K3路,2,
佳家如意园,江平东路瘦西湖路,K3路,2,
江平东路瘦西湖路,雷塘,K3路,2,
雷塘,江平东路平山路,K3路,2,
江平东路平山路,江平东路扬子江北路,K3路,2,
江平东路扬子江北路,江平西路司徒庙路,K3路,2,
江平西路司徒庙路,汇锦花苑北门,K3路,2,
汇锦花苑北门,维扬中学,K3路,2,
维扬中学,汇锦花苑西,K3路,2,
汇锦花苑西,唐悦国际社区(蜀秀花园西),K3路,2,
唐悦国际社区(蜀秀花园西),润蜀路华严路,K3路,2,
润蜀路华严路,南师附小,K3路,2,
南师附小,邗江中学新校区,K3路,2,
邗江中学新校区,润蜀南路西,K3路,2,
润蜀南路西,西部客运枢纽(扬州火车站西),K3路,2,
,,,,
公交三公司,扬子江北路荷叶路南,5路,2,
扬子江北路荷叶路南,小官桥,5路,2,
小官桥,蜀冈东路扬子江北路东,5路,2,
