节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
西北部公交枢纽站,五华区,1路,0,0
公交西路修理公司(普吉路),五华区,1路,0,0
普吉路中段,五华区,1路,0,0
王家桥(普吉路),五华区,1路,0,0
观音寺社区,五华区,1路,0,0
交通学校,五华区,1路,0,0
普吉路南口,五华区,1路,1,1
金鼎园,五华区,1路,1,1
虹山新村,五华区,1路,0,1
阳光果香小区（学府路）,五华区,1路,0,0
冶金学校,五华区,1路,0,0
苏家塘,五华区,1路,0,0
理工大学西门(建设路),五华区,1路,0,4
地台寺,五华区,1路,4,4
建设路,五华区,1路,4,15
府甬道,五华区,1路,9,17
云南大学(翠湖北路),五华区,1路,9,23
青云街,五华区,1路,12,35
华山西路,五华区,1路,15,32
华山西路地铁站D口,五华区,1路,15,32
财盛巷口(人民中路),五华区,1路,17,28
南太桥(青年路),五华区,1路,6,10
得胜桥(青年路),五华区,1路,4,10
塘子巷(拓东路),官渡区,1路,0,10
拓东路中段,官渡区,1路,1,3
市博物馆,官渡区,1路,1,1
岔街(拓东路),官渡区,1路,0,1
东站(环城南路),官渡区,1路,0,0
,,,,
昆明站(永平路),官渡区,2路,0,0
昆明站(站前路),官渡区,2路,0,0
永安路口(北京路),官渡区,2路,0,0
环城南路口(北京路),官渡区,2路,0,0
和平村(北京路),官渡区,2路,0,4
塘子巷(北京路),官渡区,2路,1,4
东风广场(北京路),盘龙区,2路,3,7
交三桥(人民东路),盘龙区,2路,4,6
财盛巷口(人民中路),五华区,2路,17,28
文庙(人民中路),五华区,2路,17,28
富春街口(人民中路),五华区,2路,4,25
百汇商场,五华区,2路,4,10
建设路,五华区,2路,3,15
西站,五华区,2路,0,0
虹山南路口(滇缅大道),五华区,2路,0,0
麻园(滇缅大道),五华区,2路,0,0
黄土坡,五华区,2路,1,1
,,,,
颐园小区(白云路),盘龙区,3路,,
白云路口(北京路),盘龙区,3路,0,0
凤凰新村,盘龙区,3路,0,0
火车北站(北京路),盘龙区,3路,0,0
穿心鼓楼(北京路),盘龙区,3路,0,2
凤凰村,盘龙区,3路,0,3
交三桥(人民东路),盘龙区,3路,4,6
南太桥(青年路),五华区,3路,6,10
得胜桥(青年路),五华区,3路,4,10
金马坊,西山区,3路,6,20
靖国路口,西山区,3路,2,7
弥勒寺(西昌路),五华区,3路,0,2
工人新村(西昌路),西山区,3路,2,5
西岳庙(海埂路),西山区,3路,0,1
豆腐营(海埂路),西山区,3路,0,0
洒金巷口(海埂路),西山区,3路,0,0
绿荫大道路口,西山区,3路,0,0
日新路口(润城第二大道),西山区,3路,0,0
前卫营(前兴路),西山区,3路,0,0
前兴路公交枢纽站,西山区,3路,0,0
,,,,
小菜园立交桥,五华区,4路,0,2
鼓楼路1,五华区,4路,6,10
圆通山,五华区,4路,7,11
青年路,五华区,4路,4,12
南太桥(青年路),五华区,4路,6,10
得胜桥(青年路),五华区,4路,4,10
金马坊,西山区,4路,6,20
靖国路口,西山区,4路,2,7
弥勒寺(西昌路),五华区,4路,0,2
工人新村(安康路),西山区,4路,0,1
安康路,西山区,4路,0,0
刘家营(安康路),西山区,4路,0,0
安康路口,西山区,4路,0,0
东陆桥(西园路),西山区,4路,0,0
昆五中,西山区,4路,0,0
大观楼车场,西山区,4路,0,0
,,,,
茭菱路口(环城西路),五华区,5路,0,0
潘家湾(人民西路)2,五华区,5路,0,0
潘家湾地铁站(小西门),五华区,5路,0,4
小西门(人民西路),五华区,5路,0,4
小西门(东风西路),五华区,5路,3,10
艺术剧院,五华区,5路,6,18
南太桥(东风东路),盘龙区,5路,4,5
尚义巷口(东风东路),盘龙区,5路,0,4
拓东体育场(东风东路),盘龙区,5路,0,1
东站(环城东路),盘龙区,5路,0,0
民航路,官渡区,5路,0,0
吴井路口(民航路),官渡区,5路,0,0
五里多村,官渡区,5路,0,0
关兴路口(民航路),官渡区,5路,0,0
官渡广场(民航路),官渡区,5路,0,0
官上(民航路),官渡区,5路,0,0
关景路,官渡区,5路,0,0
巫家坝车场,官渡区,5路,0,0
,,,,
眠山车场,五华区,6路,1,1
眠山(春雨路),五华区,6路,1,1
七公里(春雨路),西山区,6路,1,1
上村路口(春雨路),西山区,6路,0,1
益宁路口(春雨路),西山区,6路,0,1
马街(春雨路),西山区,6路,0,0
大渔路地铁站(春雨路),西山区,6路,0,0
马街村(春雨路),西山区,6路,0,1
石咀村(春雨路),西山区,6路,1,1
白沙路口(春雨路),西山区,6路,1,1
普坪村,西山区,6路,1,1
干沟路口(春雨路),西山区,6路,1,2
春雨路南段,西山区,6路,1,1
车家壁(春雨路),西山区,6路,0,1
车家壁地铁站,西山区,6路,1,1
碧鸡关,西山区,6路,0,0
高峣,西山区,6路,2,4
,,,,
潘家湾,五华区,7路,0,0
环城西路口,五华区,7路,1,1
赵家堆,五华区,7路,0,0
西园路口(茭菱路),五华区,7路,0,0
丰宁小区,五华区,7路,0,0
西苑立交北口,五华区,7路,0,0
省社科联(二环西路),五华区,7路,0,0
科锦路(二环西路),五华区,7路,1,1
黄土坡立交桥西口,五华区,7路,1,1
海源中路口(滇缅大道),五华区,7路,0,2
昌源路口(滇缅大道),五华区,7路,1,1
假日城市小区(滇缅大道),五华区,7路,2,2
黑林铺(滇缅大道),五华区,7路,2,2
滇缅大道西段,五华区,7路,0,1
小团山(滇缅大道),五华区,7路,0,0
昭宗路口(滇缅大道),五华区,7路,1,1
昆明玻璃厂,五华区,7路,1,2
昭宗彝族村,五华区,7路,2,2
昭宗彝族村口,五华区,7路,1,2
昭宗乡村村委会,五华区,7路,1,3
昭宗路,五华区,7路,1,2
昭宗大村,五华区,7路,2,2
昆药集团,五华区,7路,1,1
上村路口(春雨路),五华区,7路,0,1
益宁路口(春雨路),五华区,7路,0,0
上村路口(春雨路),五华区,7路,0,1
昭宗路口(招呼站),五华区,7路,0,2
七公里(春雨路),五华区,7路,0,0
眠山车场,五华区,7路,1,1
,,,,
南屏街西口,五华区,10路,12,25
艺术剧院,五华区,10路,6,18
小西门,五华区,10路,0,4
百汇商场,五华区,10路,4,10
建设路2,五华区,10路,3,15
地台寺,五华区,10路,4,4
理工大学西门(建设路),五华区,10路,0,4
苏家塘,五华区,10路,0,0
理工大学北门(学府路),五华区,10路,0,1
教场路口(学府路),五华区,10路,1,1
莲花宾馆,五华区,10路,0,1
小菜园,五华区,10路,0,0
江岸小区,五华区,10路,0,0
盘江东路口(白云路),盘龙区,10路,0,0
万华路口(白云路),盘龙区,10路,0,0
志强路口(白云路),盘龙区,10路,0,0
北京路口(白云路),盘龙区,10路,0,0
颐园小区(白云路),盘龙区,10路,0,0
王旗路(白云路),盘龙区,10路,0,0
小坝(穿金路),盘龙区,10路,1,1
小坝立交桥,盘龙区,10路,1,1
昆十一中,盘龙区,10路,1,1
北辰大道路口(穿金路),盘龙区,10路,0,0
波罗村,盘龙区,10路,0,0
省精神病医院,盘龙区,10路,0,0
煤机新村,盘龙区,10路,0,0
铂金大道路口(穿金路),盘龙区,10路,0,0
穿金路北段,盘龙区,10路,0,0
金殿车场,盘龙区,10路,0,0
,,,,
东寺街,西山区,148路,7,10
西寺塔,西山区,148路,4,8
东寺街南口,西山区,148路,3,6
西岳庙(西昌路)1,西山区,148路,1,3
工人新村(西昌路),西山区,148路,2,5
弥勒寺(西昌路),西山区,148路,0,2
新闻路口(西昌路),西山区,148路,0,1
篆塘(大观路),西山区,148路,0,0
环西桥(大观路),西山区,148路,0,1
920医院,西山区,148路,1,1
丹霞路口(西园路),西山区,148路,0,1
白马,西山区,148路,0,0
华夏中专(近华浦路),西山区,148路,0,0
春苑小区1,西山区,148路,0,0
秋苑小区(昆州路),西山区,148路,0,0
梁源小区,西山区,148路,0,0
西山区政府(丽苑路),西山区,148路,0,0
丽苑路西段,西山区,148路,0,0
梁源小区,西山区,148路,0,0
