前一节点,后一节点,线路名称,票价,区域属性,间距(km)
西北部公交枢纽站,公交西路修理公司(普吉路),1路,1,五华区,0.529
公交西路修理公司(普吉路),普吉路中段,1路,1,五华区,0.51
普吉路中段,王家桥(普吉路),1路,1,五华区,0.394
王家桥(普吉路),观音寺社区,1路,1,五华区,0.534
观音寺社区,交通学校,1路,1,五华区,0.597
交通学校,普吉路南口,1路,1,五华区,0.665
普吉路南口,金鼎园,1路,1,五华区,0.329
金鼎园,虹山新村,1路,1,五华区,
虹山新村,阳光果香小区（学府路）,1路,1,五华区,
阳光果香小区（学府路）,冶金学校,1路,1,五华区,
冶金学校,苏家塘,1路,1,五华区,
苏家塘,理工大学西门(建设路),1路,1,五华区,
理工大学西门(建设路),地台寺,1路,1,五华区,
地台寺,建设路,1路,1,五华区,
建设路,府甬道,1路,1,五华区,
府甬道,云南大学(翠湖北路),1路,1,五华区,
云南大学(翠湖北路),青云街,1路,1,五华区,
青云街,华山西路,1路,1,五华区,
华山西路,华山西路地铁站D口,1路,1,五华区,
华山西路地铁站D口,财盛巷口(人民中路),1路,1,五华区,
财盛巷口(人民中路),南太桥(青年路),1路,1,五华区,
南太桥(青年路),得胜桥(青年路),1路,1,五华区,
得胜桥(青年路),塘子巷(拓东路),1路,1,五华区,
塘子巷(拓东路),拓东路中段,1路,1,官渡区,
拓东路中段,市博物馆,1路,1,官渡区,
市博物馆,岔街(拓东路),1路,1,官渡区,
岔街(拓东路),东站(环城南路),1路,1,官渡区,
,,,,,
昆明站(永平路),昆明站(站前路),2路,1,官渡区,
昆明站(站前路),永安路口(北京路),2路,1,官渡区,
永安路口(北京路),环城南路口(北京路),2路,1,官渡区,
环城南路口(北京路),和平村(北京路),2路,1,官渡区,
和平村(北京路),塘子巷(北京路),2路,1,官渡区,
塘子巷(北京路),东风广场(北京路),2路,1,官渡区,
东风广场(北京路),交三桥(人民东路),2路,1,盘龙区,
交三桥(人民东路),财盛巷口(人民中路),2路,1,盘龙区,
财盛巷口(人民中路),文庙(人民中路),2路,1,五华区,
文庙(人民中路),富春街口(人民中路),2路,1,五华区,
富春街口(人民中路),百汇商场,2路,1,五华区,
百汇商场,建设路,2路,1,五华区,
建设路,西站,2路,1,五华区,
西站,虹山南路口(滇缅大道),2路,1,五华区,
虹山南路口(滇缅大道),麻园(滇缅大道),2路,1,五华区,
麻园(滇缅大道),黄土坡,2路,1,五华区,
,,,,,
颐园小区(白云路),白云路口(北京路),3路,1,盘龙区,
白云路口(北京路),凤凰新村,3路,1,盘龙区,
凤凰新村,火车北站(北京路),3路,1,盘龙区,
火车北站(北京路),穿心鼓楼(北京路),3路,1,盘龙区,
穿心鼓楼(北京路),凤凰村,3路,1,盘龙区,
凤凰村,交三桥(人民东路),3路,1,盘龙区,
交三桥(人民东路),南太桥(青年路),3路,1,盘龙区,
南太桥(青年路),得胜桥(青年路),3路,1,五华区,
得胜桥(青年路),金马坊,3路,1,五华区,
金马坊,靖国路口,3路,1,西山区,
靖国路口,弥勒寺(西昌路),3路,1,西山区,
弥勒寺(西昌路),工人新村(西昌路),3路,1,五华区,
工人新村(西昌路),西岳庙(海埂路),3路,1,西山区,
西岳庙(海埂路),豆腐营(海埂路),3路,1,西山区,
豆腐营(海埂路),洒金巷口(海埂路),3路,1,西山区,
洒金巷口(海埂路),绿荫大道路口,3路,1,西山区,
绿荫大道路口,日新路口(润城第二大道),3路,1,西山区,
日新路口(润城第二大道),前卫营(前兴路),3路,1,西山区,
前卫营(前兴路),前兴路公交枢纽站,3路,1,西山区,
,,,,,
小菜园立交桥,鼓楼路,4路,1,五华区,
鼓楼路1,圆通山,4路,1,五华区,
圆通山,青年路,4路,1,五华区,
青年路,南太桥(青年路),4路,1,五华区,
南太桥(青年路),得胜桥(青年路),4路,1,五华区,
得胜桥(青年路),金马坊,4路,1,五华区,
金马坊,靖国路口,4路,1,西山区,
靖国路口,弥勒寺(西昌路),4路,1,西山区,
弥勒寺(西昌路),工人新村(安康路),4路,1,五华区,
工人新村(安康路),安康路,4路,1,西山区,
安康路,刘家营(安康路),4路,1,西山区,
刘家营(安康路),安康路口,4路,1,西山区,
安康路口,东陆桥(西园路),4路,1,西山区,
东陆桥(西园路),昆五中,4路,1,西山区,
昆五中,大观楼车场,4路,1,西山区,
,,,,,
茭菱路口(环城西路),潘家湾(人民西路)2,5路,1,五华区,
潘家湾(人民西路)2,潘家湾地铁站(小西门),5路,1,五华区,
潘家湾地铁站(小西门),小西门(人民西路),5路,1,五华区,
小西门(人民西路),小西门(东风西路),5路,1,五华区,
小西门(东风西路),艺术剧院,5路,1,五华区,
艺术剧院,南太桥(东风东路),5路,1,五华区,
南太桥(东风东路),尚义巷口(东风东路),5路,1,盘龙区,
尚义巷口(东风东路),拓东体育场(东风东路),5路,1,盘龙区,
拓东体育场(东风东路),东站(环城东路),5路,1,盘龙区,
东站(环城东路),民航路,5路,1,盘龙区,
民航路,吴井路口(民航路),5路,1,官渡区,
吴井路口(民航路),五里多村,5路,1,官渡区,
五里多村,关兴路口(民航路),5路,1,官渡区,
关兴路口(民航路),官渡广场(民航路),5路,1,官渡区,
官渡广场(民航路),官上(民航路),5路,1,官渡区,
官上(民航路),关景路,5路,1,官渡区,
关景路,巫家坝车场,5路,1,官渡区,
,,,,,
眠山车场,眠山(春雨路),6路,1,五华区,
眠山(春雨路),七公里(春雨路),6路,1,五华区,
七公里(春雨路),上村路口(春雨路),6路,1,西山区,
上村路口(春雨路),益宁路口(春雨路),6路,1,西山区,
益宁路口(春雨路),马街(春雨路),6路,1,西山区,
马街(春雨路),大渔路地铁站(春雨路),6路,1,西山区,
大渔路地铁站(春雨路),马街村(春雨路),6路,1,西山区,
马街村(春雨路),石咀村(春雨路),6路,1,西山区,
石咀村(春雨路),白沙路口(春雨路),6路,1,西山区,
白沙路口(春雨路),普坪村,6路,1,西山区,
普坪村,干沟路口(春雨路),6路,1,西山区,
干沟路口(春雨路),春雨路南段,6路,1,西山区,
春雨路南段,车家壁(春雨路),6路,1,西山区,
车家壁(春雨路),车家壁地铁站,6路,1,西山区,
车家壁地铁站,碧鸡关,6路,1,西山区,
碧鸡关,高峣,6路,1,西山区,
,,,,,
潘家湾,环城西路口,7路,1,五华区,
环城西路口,赵家堆,7路,1,五华区,
赵家堆,西园路口(茭菱路),7路,1,五华区,
西园路口(茭菱路),丰宁小区,7路,1,五华区,
丰宁小区,西苑立交北口,7路,1,五华区,
西苑立交北口,省社科联(二环西路),7路,1,五华区,
省社科联(二环西路),科锦路(二环西路),7路,1,五华区,
科锦路(二环西路),黄土坡立交桥西口,7路,1,五华区,
黄土坡立交桥西口,海源中路口(滇缅大道),7路,1,五华区,
海源中路口(滇缅大道),昌源路口(滇缅大道),7路,1,五华区,
昌源路口(滇缅大道),假日城市小区(滇缅大道),7路,1,五华区,
假日城市小区(滇缅大道),黑林铺(滇缅大道),7路,1,五华区,
黑林铺(滇缅大道),滇缅大道西段,7路,1,五华区,
滇缅大道西段,小团山(滇缅大道),7路,1,五华区,
小团山(滇缅大道),昭宗路口(滇缅大道),7路,1,五华区,
昭宗路口(滇缅大道),昆明玻璃厂,7路,1,五华区,
昆明玻璃厂,昭宗彝族村,7路,1,五华区,
昭宗彝族村,昭宗彝族村口,7路,1,五华区,
昭宗彝族村口,昭宗乡村村委会,7路,1,五华区,
昭宗乡村村委会,昭宗路,7路,1,五华区,
昭宗路,昭宗大村,7路,1,五华区,
昭宗大村,昆药集团,7路,1,五华区,
昆药集团,上村路口(春雨路),7路,1,五华区,
上村路口(春雨路),益宁路口(春雨路),7路,1,五华区,
益宁路口(春雨路),上村路口(春雨路),7路,1,五华区,
上村路口(春雨路),昭宗路口(招呼站),7路,1,五华区,
昭宗路口(招呼站),七公里(春雨路),7路,1,五华区,
七公里(春雨路),眠山车场,7路,1,五华区,
,,,,,
南屏街西口,艺术剧院,10路,1,五华区,
艺术剧院,小西门,10路,1,五华区,
小西门,百汇商场,10路,1,五华区,
百汇商场,建设路2,10路,1,五华区,
建设路2,地台寺,10路,1,五华区,
地台寺,理工大学西门(建设路),10路,1,五华区,
理工大学西门(建设路),苏家塘,10路,1,五华区,
