节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数
桂林北站,叠彩区,1路,0,0
站前路西,叠彩区,1路,0,0
桂北客运站,叠彩区,1路,0,0
站前路中,叠彩区,1路,0,0
站前路,叠彩区,1路,0,0
站前路东,叠彩区,1路,0,0
南洲大桥北,叠彩区,1路,1,1
南洲大桥南,叠彩区,1路,0,0
芳华路,叠彩区,1路,0,0
五福村,叠彩区,1路,0,0
芳华路东,叠彩区,1路,0,0
芳华路西,叠彩区,1路,0,0
新建路口,叠彩区,1路,0,0
群众路口,叠彩区,1路,0,0
商贸城,叠彩区,1路,0,0
北极广场,叠彩区,1路,1,0
观音阁,叠彩区,1路,5,1
东镇路,叠彩区,1路,6,3
凤北路口,叠彩区,1路,7,3
乐群路口,秀峰区,1路,7,3
十字街(解放西路),秀峰区,1路,6,3
艺术馆,秀峰区,1路,6,4
观漪桥,秀峰区,1路,5,0
信义路口,秀峰区,1路,3,0
西凤路口,秀峰区,1路,2,1
九岗岭,秀峰区,1路,1,1
西门菜市,象山区,1路,1,1
东安街口,象山区,1路,0,0
象山区政府,象山区,1路,0,0
机场路口,象山区,1路,0,0
翠竹路,象山区,1路,0,0
黑山路口,象山区,1路,0,0
东莲站,象山区,1路,0,0
鼎富大厦,秀峰区,1路,0,0
琴潭汽车客运站,秀峰区,1路,0,0
,,,,
象山公园,象山区,2路,11,9
漓江剧院,秀峰区,2路,3,2
解放桥,秀峰区,2路,7,4
伏波山,秀峰区,2路,3,2
叠彩山,叠彩区,2路,8,3
凤北路口,叠彩区,2路,7,3
乐群路口,秀峰区,2路,7,3
十字街中心广场,秀峰区,2路,6,1
文明路,象山区,2路,8,3
象山公园,象山区,2路,11,9
民主路,象山区,2路,0,0
安新小区北门,象山区,2路,0,0
上海路口,象山区,2路,0,0
机场路口,象山区,2路,0,0
翠竹路,象山区,2路,0,0
红岭路南口,秀峰区,2路,0,0
红岭路北口,秀峰区,2路,0,0
东安路,秀峰区,2路,0,0
东安路西,秀峰区,2路,0,0
琴潭中隐路口,秀峰区,2路,0,0
中隐路尾,秀峰区,2路,0,0
养生谷·中医街,临桂区,2路,0,0
桂林健康学院,临桂区,2路,0,0
养生谷·颐养阁,临桂区,2路,0,0
中隐路(马家蚌村),临桂区,2路,0,0
熊家村,临桂区,2路,0,0
西二环,临桂区,2路,0,0
福达农产品物流园,临桂区,2路,0,0
,,,,
天鹅塘,象山区,3路,0,0
桂林站,象山区,3路,0,0
南门桥南,象山区,3路,0,0
西城路口,象山区,3路,8,1
阳桥,象山区,3路,5,3
十字街(解放西路),秀峰区,3路,6,3
艺术馆,秀峰区,3路,6,3
观漪桥,秀峰区,3路,5,0
信义路口,秀峰区,3路,3,0
西凤路口,秀峰区,3路,2,1
信义路尾,秀峰区,3路,2,0
隧道北口,叠彩区,3路,1,0
芦笛路,叠彩区,3路,0,0
环城北一路,叠彩区,3路,0,0
圣隆路,叠彩区,3路,0,0
九华山,叠彩区,3路,0,0
芦笛菜市,叠彩区,3路,0,0
冶金机械厂,叠彩区,3路,0,0
马鞍山,叠彩区,3路,0,0
芦笛路尾,秀峰区,3路,0,0
芦笛岩,秀峰区,3路,0,0
长海厂,秀峰区,3路,0,0
长海新村(临时站),秀峰区,3路,0,0
长海中学(临时站),秀峰区,3路,0,0
长海小学,秀峰区,3路,0,0
长海五村,秀峰区,3路,0,0
,,,,
文明路,象山区,5路,8,3
南门桥南,象山区,5路,0,0
桂林站,象山区,5路,0,0
公交铁西车场,象山区,5路,0,0
南溪医院,象山区,5路,1,0
崇信路,象山区,5路,0,0
瓦窑口,象山区,5路,0,0
平山,象山区,5路,0,0
八中路口,象山区,5路,0,0
凯风路北,象山区,5路,0,0
十一中学,象山区,5路,0,0
甑皮岩路口,象山区,5路,1,1
大风山,象山区,5路,0,0
长虹路口,象山区,5路,0,0
