前一节点,后一节点,线路名称,票价,区域属性,间距(km)
桂林北站,站前路西,1路,2,叠彩区,
站前路西,桂北客运站,1路,2,叠彩区,
桂北客运站,站前路中,1路,2,叠彩区,
站前路中,站前路,1路,2,叠彩区,
站前路,站前路东,1路,2,叠彩区,
站前路东,南洲大桥北,1路,2,叠彩区,
南洲大桥北,南洲大桥南,1路,2,叠彩区,
南洲大桥南,芳华路,1路,2,叠彩区,
芳华路,五福村,1路,2,叠彩区,
五福村,芳华路东,1路,2,叠彩区,
芳华路东,芳华路西,1路,2,叠彩区,
芳华路西,新建路口,1路,2,叠彩区,
新建路口,群众路口,1路,2,叠彩区,
群众路口,商贸城,1路,2,叠彩区,
商贸城,北极广场,1路,2,叠彩区,
北极广场,观音阁,1路,2,叠彩区,
观音阁,东镇路,1路,2,叠彩区,
东镇路,凤北路口,1路,2,叠彩区,
凤北路口,乐群路口,1路,2,叠彩区,
乐群路口,十字街(解放西路),1路,2,秀峰区,
十字街(解放西路),艺术馆,1路,2,秀峰区,
艺术馆,观漪桥,1路,2,秀峰区,
观漪桥,信义路口,1路,2,秀峰区,
信义路口,西凤路口,1路,2,秀峰区,
西凤路口,九岗岭,1路,2,秀峰区,
九岗岭,西门菜市,1路,2,秀峰区,
西门菜市,东安街口,1路,2,象山区,
东安街口,象山区政府,1路,2,象山区,
象山区政府,机场路口,1路,2,象山区,
机场路口,翠竹路,1路,2,象山区,
翠竹路,黑山路口,1路,2,象山区,
黑山路口,东莲站,1路,2,象山区,
东莲站,鼎富大厦,1路,2,象山区,
鼎富大厦,琴潭汽车客运站,1路,2,秀峰区,
,,,,,
象山公园,漓江剧院,2路,2,象山区,
漓江剧院,解放桥,2路,2,秀峰区,
解放桥,伏波山,2路,2,秀峰区,
伏波山,叠彩山,2路,2,秀峰区,
叠彩山,凤北路口,2路,2,叠彩区,
凤北路口,乐群路口,2路,2,叠彩区,
乐群路口,十字街中心广场,2路,2,秀峰区,
十字街中心广场,文明路,2路,2,秀峰区,
文明路,象山公园,2路,2,象山区,
象山公园,民主路,2路,2,象山区,
民主路,安新小区北门,2路,2,象山区,
安新小区北门,上海路口,2路,2,象山区,
上海路口,机场路口,2路,2,象山区,
机场路口,翠竹路,2路,2,象山区,
翠竹路,红岭路南口,2路,2,象山区,
红岭路南口,红岭路北口,2路,2,秀峰区,
红岭路北口,东安路,2路,2,秀峰区,
东安路,东安路西,2路,2,秀峰区,
东安路西,琴潭中隐路口,2路,2,秀峰区,
琴潭中隐路口,中隐路尾,2路,2,秀峰区,
中隐路尾,养生谷·中医街,2路,2,秀峰区,
养生谷·中医街,桂林健康学院,2路,2,临桂区,
桂林健康学院,养生谷·颐养阁,2路,2,临桂区,
养生谷·颐养阁,中隐路(马家蚌村),2路,2,临桂区,
中隐路(马家蚌村),熊家村,2路,2,临桂区,
熊家村,西二环,2路,2,临桂区,
西二环,福达农产品物流园,2路,2,临桂区,
,,,,,
天鹅塘,桂林站,3路,2,象山区,
桂林站,南门桥南,3路,2,象山区,
南门桥南,西城路口,3路,2,象山区,
西城路口,阳桥,3路,2,象山区,
阳桥,十字街(解放西路),3路,2,象山区,
十字街(解放西路),艺术馆,3路,2,秀峰区,
艺术馆,观漪桥,3路,2,秀峰区,
观漪桥,信义路口,3路,2,秀峰区,
信义路口,西凤路口,3路,2,秀峰区,
西凤路口,信义路尾,3路,2,秀峰区,
信义路尾,隧道北口,3路,2,秀峰区,
隧道北口,芦笛路,3路,2,叠彩区,
芦笛路,环城北一路,3路,2,叠彩区,
环城北一路,圣隆路,3路,2,叠彩区,
圣隆路,九华山,3路,2,叠彩区,
九华山,芦笛菜市,3路,2,叠彩区,
芦笛菜市,冶金机械厂,3路,2,叠彩区,
冶金机械厂,马鞍山,3路,2,叠彩区,
马鞍山,芦笛路尾,3路,2,叠彩区,
芦笛路尾,芦笛岩,3路,2,秀峰区,
芦笛岩,长海厂,3路,2,秀峰区,
长海厂,长海新村(临时站),3路,2,秀峰区,
长海新村(临时站),长海中学(临时站),3路,2,秀峰区,
长海中学(临时站),长海小学,3路,2,秀峰区,
长海小学,长海五村,3路,2,秀峰区,
,,,,,
文明路,南门桥南,5路,2,象山区,
南门桥南,桂林站,5路,2,象山区,
桂林站,公交铁西车场,5路,2,象山区,
公交铁西车场,南溪医院,5路,2,象山区,
南溪医院,崇信路,5路,2,象山区,
崇信路,瓦窑口,5路,2,象山区,
瓦窑口,平山,5路,2,象山区,
平山,八中路口,5路,2,象山区,
八中路口,凯风路北,5路,2,象山区,
凯风路北,十一中学,5路,2,象山区,
十一中学,甑皮岩路口,5路,2,象山区,
甑皮岩路口,大风山,5路,2,象山区,
大风山,长虹路口,5路,2,象山区,
长虹路口,茶店路口,5路,2,象山区,
茶店路口,凯风路南,5路,2,象山区,
凯风路南,凯风路尾,5路,2,象山区,
凯风路尾,二塘,5路,2,象山区,
二塘,二塘中学,5路,2,象山区,
二塘中学,九美桥,5路,2,象山区,
九美桥,四合村委(招呼站),5路,2,象山区,
四合村委(招呼站),北芬小村(招呼站),5路,2,象山区,
北芬小村(招呼站),北芬大村,5路,2,象山区,
北芬大村,高速路口,5路,2,象山区,
高速路口,旅游学院路口,5路,2,象山区,
旅游学院路口,亮丰农场(招呼站),5路,2,雁山区,
亮丰农场(招呼站),良丰路,5路,2,雁山区,
良丰路,雁山新镇,5路,2,雁山区,
雁山新镇,会仙路口,5路,2,雁山区,
会仙路口,良丰小学,5路,2,雁山区,
良丰小学,蒋家坝,5路,2,雁山区,
蒋家坝,良丰路南(招呼站),5路,2,雁山区,
良丰路南(招呼站),雁山医院,5路,2,雁山区,
雁山医院,雁山园,5路,2,雁山区,
雁山园,雁山中学,5路,2,雁山区,
雁山中学,理工大学东门,5路,2,雁山区,
理工大学东门,园博园路口,5路,2,雁山区,
园博园路口,理工大学南门,5路,2,雁山区,
理工大学南门,理工大学2号食堂,5路,2,雁山区,
理工大学2号食堂,理工大学1号食堂,5路,2,雁山区,
理工大学1号食堂,理工大学3号食堂,5路,2,雁山区,
理工大学3号食堂,桂林理工大学(雁山校区),5路,2,雁山区,
,,,,,
联达广场,园林植物园,10路,2,象山区,
园林植物园,公交铁西车场,10路,2,象山区,
公交铁西车场,桂林站,10路,2,象山区,
桂林站,南门桥南,10路,2,象山区,
南门桥南,西城路口,10路,2,象山区,
西城路口,阳桥,10路,2,象山区,
阳桥,十字街(解放东路),10路,2,象山区,
十字街(解放东路),解放桥,10路,2,秀峰区,
解放桥,七星公园,10路,2,秀峰区,
七星公园,建干路口,10路,2,七星区,
建干路口,桂林理工大学,10路,2,七星区,
桂林理工大学,彭家岭,10路,2,七星区,
彭家岭,公交东环车场,10路,2,七星区,
公交东环车场,电子科大西区,10路,2,七星区,
电子科大西区,金鸡路口,10路,2,七星区,
金鸡路口,电子科大东区,10路,2,七星区,
,,,,,
七星公园,解放桥,11路,2,七星区,
解放桥,十字街中心广场,11路,2,秀峰区,
十字街中心广场,阳桥,11路,2,秀峰区,
阳桥,西城路口,11路,2,象山区,
西城路口,南门桥南,11路,2,象山区,
南门桥南,桂林站,11路,2,象山区,
桂林站,桂青路,11路,2,象山区,
桂青路,南溪公园,11路,2,象山区,
南溪公园,南溪医院,11路,2,象山区,
南溪医院,崇信路,11路,2,象山区,
崇信路,瓦窑口,11路,2,象山区,
瓦窑口,瓦窑,11路,2,象山区,
瓦窑,旅游商品批发城,11路,2,象山区,
旅游商品批发城,旅游商品批发城A区,11路,2,象山区,
旅游商品批发城A区,平山,11路,2,象山区,
,,,,,
天鹅塘,桂林站,观光1号线,2,象山区,
桂林站,象山公园,观光1号线,2,象山区,
象山公园,滨江路中,观光1号线,2,象山区,
滨江路中,解放桥,观光1号线,2,象山区,
解放桥,伏波山,观光1号线,2,秀峰区,
伏波山,叠彩山,观光1号线,2,秀峰区,
叠彩山,凤北路口,观光1号线,2,叠彩区,
凤北路口,宝贤桥,观光1号线,2,叠彩区,
宝贤桥,翊武路,观光1号线,2,叠彩区,
翊武路,十字街(解放西路),观光1号线,2,秀峰区,
十字街(解放西路),阳桥,观光1号线,2,秀峰区,
阳桥,南门桥南,观光1号线,2,象山区,
南门桥南,桂林站,观光1号线,2,象山区,
桂林站,天鹅塘,观光1号线,2,象山区,
,,,,,
天鹅塘,桂林站,22路,2,象山区,
桂林站,南门桥南,22路,2,象山区,
南门桥南,西门桥,22路,2,象山区,
西门桥,少年宫,22路,2,象山区,
少年宫,信义丽君路口,22路,2,象山区,
信义丽君路口,丽泽桥,22路,2,秀峰区,
丽泽桥,乐群路口,22路,2,秀峰区,
乐群路口,宝贤桥,22路,2,秀峰区,
宝贤桥,西清湖,22路,2,叠彩区,
西清湖,观音阁,22路,2,叠彩区,
观音阁,芦笛路,22路,2,叠彩区,
芦笛路,九华山,22路,2,叠彩区,
九华山,圣隆路,22路,2,叠彩区,
圣隆路,圣隆路北,22路,2,叠彩区,
圣隆路北,胜利路三巷口,22路,2,叠彩区,
胜利路三巷口,铁路菜市,22路,2,叠彩区,
铁路菜市,福利路南,22路,2,叠彩区,
福利路南,福利路北,22路,2,秀峰区,
福利路北,智慧产业园,22路,2,秀峰区,
智慧产业园,八里四路西,22路,2,灵川县,
八里四路西,八里四路西二环路口,22路,2,灵川县,
八里四路西二环路口,社塘村,22路,2,灵川县,
社塘村,大泉水村,22路,2,灵川县,
大泉水村,桂林西站,22路,2,灵川县,
,,,,,
阳江北路,阳江北路中,14路,2,秀峰区,
阳江北路中,榕湖小学分校,14路,2,秀峰区,
榕湖小学分校,琴潭中隐路口,14路,2,秀峰区,
琴潭中隐路口,东安路西,14路,2,秀峰区,
东安路西,阳江路东安路口,14路,2,秀峰区,
阳江路东安路口,秀峰区政府,14路,2,秀峰区,
秀峰区政府,桃花新村,14路,2,秀峰区,
桃花新村,胜利桥,14路,2,秀峰区,
胜利桥,西山公园,14路,2,秀峰区,
西山公园,丽君路,14路,2,秀峰区,
丽君路,信义市场,14路,2,秀峰区,
信义市场,观漪桥,14路,2,秀峰区,
观漪桥,艺术馆,14路,2,秀峰区,
艺术馆,十字街(解放西路),14路,2,秀峰区,
十字街(解放西路),解放桥,14路,2,秀峰区,
解放桥,七星公园,14路,2,秀峰区,
七星公园,龙隐桥,14路,2,七星区,
龙隐桥,龙隐路,14路,2,七星区,
龙隐路,三里店,14路,2,七星区,
