节点名称,区域属性,500M内是否有文保单位/古迹遗址/宗祠故地,线路,500M内文保单位/古迹遗址/宗祠故地的个数,,
泉州外国语学校,鲤城区,是,1路,8,,
泉州一中,鲤城区,是,1路,7,,
学府街西段,鲤城区,是,1路,6,,
北门街,鲤城区,是,1路,5,,
华侨新村,鲤城区,是,1路,5,,
医大二院鲤城院区,鲤城区,是,1路,7,,
钟楼,鲤城区,是,1路,12,,
泉州一院,鲤城区,是,1路,13,,
东门,鲤城区,是,1路,6,,
东湖公园,鲤城区,是,1路,6,,
九一街口,鲤城区,是,1路,3,,
温陵路中段,鲤城区,是,1路,3,,
津坂路口,丰泽区,否,1路,0,,
水务集团,丰泽区,否,1路,0,,
刺桐公园南门,丰泽区,否,1路,0,,
东美街口,丰泽区,是,1路,2,,
泉秀街口,丰泽区,否,1路,0,,
客运中心站南门,丰泽区,否,1路,0,,
金帝花园,丰泽区,否,1路,0,,
现代广场,丰泽区,是,1路,2,,
东海街道办事处,丰泽区,是,1路,3,,
黎明大学,丰泽区,是,1路,6,,
宝珊花园,丰泽区,是,1路,4,,
法坊路口,丰泽区,否,1路,0,,
霞露口,丰泽区,是,1路,1,,
东海滨城,丰泽区,否,1路,0,,
格联通街,丰泽区,否,1路,0,,
东滨路口,丰泽区,否,1路,0,,
格联通街口,丰泽区,否,1路,0,,
公交东海站,丰泽区,否,1路,0,,
霞塘,丰泽区,否,1路,0,,
东梅,丰泽区,否,1路,0,,
泉州师院,丰泽区,否,1路,0,,
东海大街口,丰泽区,否,1路,0,,
府西路,丰泽区,否,1路,0,,
泉州行政中心,丰泽区,否,1路,0,,
晋光小学东海校区,丰泽区,否,1路,0,,
海星小区,丰泽区,否,1路,0,,
,,,,,,
福厦铁路泉州站,丰泽区,是,2路,1,,
泉州软件园,丰泽区,否,2路,0,,
霞美,丰泽区,否,2路,0,,
曾坑,丰泽区,是,2路,1,,
黄龙大桥头,丰泽区,否,2路,0,,
招贤社区,丰泽区,否,2路,0,,
丰泽实小潘山校区,丰泽区,否,2路,0,,
北清西路,丰泽区,否,2路,0,,
溪墘村口,丰泽区,否,2路,0,,
送客亭,丰泽区,否,2路,0,,
段湖村,丰泽区,是,2路,2,,
西郊,丰泽区,否,2路,0,,
孟衙巷口,鲤城区,是,2路,3,,
龙头山,鲤城区,是,2路,3,,
临漳水闸,鲤城区,是,2路,3,,
金洲寺,鲤城区,是,2路,1,,
金洲旱闸,鲤城区,否,2路,0,,
新华旱闸,鲤城区,否,2路,0,,
金山水闸,鲤城区,否,2路,0,,
义全街西段,鲤城区,是,2路,4,,
鲤城公安分局,鲤城区,是,2路,10,,
幸福街口,鲤城区,是,2路,7,,
泉秀街西段,丰泽区,否,2路,0,,
浦西路口,丰泽区,否,2路,0,,
刺桐路口,丰泽区,否,2路,0,,
泉州电信公司,丰泽区,否,2路,0,,
