前一节点,后一节点,线路名称,票价,区域属性,间距(km)
高铁龙门站,永泰街伊洛路口北,1路,1.5,洛龙区,
永泰街伊洛路口北,永泰街关林路口南,1路,1.5,洛龙区,
永泰街关林路口南,永泰街关林路口北,1路,1.5,洛龙区,
永泰街关林路口北,永泰街牡丹大道口南,1路,1.5,洛龙区,
永泰街牡丹大道口南,永泰街展览路口南,1路,1.5,洛龙区,
永泰街展览路口南,市民之家东门,1路,1.5,洛龙区,
市民之家东门,市政府西门,1路,1.5,洛龙区,
市政府西门,市府西街政和路口北,1路,1.5,洛龙区,
市府西街政和路口北,古城路市府西街口,1路,1.5,洛龙区,
古城路市府西街口,从政坊游园,1路,1.5,洛龙区,
从政坊游园,聂泰路文博路口南,1路,1.5,洛龙区,
聂泰路文博路口南,洛阳博物馆,1路,1.5,洛龙区,
洛阳博物馆,洛阳广播电视台,1路,1.5,洛龙区,
洛阳广播电视台,牡丹桥南,1路,1.5,洛龙区,
牡丹桥南,零一四中心,1路,1.5,洛龙区,
零一四中心,凯旋西路解放路口,1路,1.5,西工区,
凯旋西路解放路口,八一路凯旋西路口(临时站),1路,1.5,西工区,
八一路凯旋西路口(临时站),中州中路八一路口,1路,1.5,西工区,
中州中路八一路口,王城广场,1路,1.5,西工区,
王城广场,金谷园路健康东路口,1路,1.5,西工区,
金谷园路健康东路口,金谷园路春晴路口,1路,1.5,西工区,
金谷园路春晴路口,洛阳站,1路,1.5,西工区,
洛阳站,玄武门大街纱厂北路口,1路,1.5,西工区,
玄武门大街纱厂北路口,瀍涧大道国花路口西,1路,1.5,西工区,
瀍涧大道国花路口西,瀍涧大道王城大道口西,1路,1.5,西工区,
瀍涧大道王城大道口西,瀍涧大道二乔路口东,1路,1.5,西工区,
瀍涧大道二乔路口东,二乔路瀍涧大道口北,1路,1.5,西工区,
二乔路瀍涧大道口北,二乔路魏紫路口南,1路,1.5,西工区,
二乔路魏紫路口南,二乔路邙岭大道口南,1路,1.5,老城区,
二乔路邙岭大道口南,中沟,1路,1.5,老城区,
中沟,邙岭大道周山大道口东,1路,1.5,老城区,
邙岭大道周山大道口东,周山大道邙岭大道口,1路,1.5,西工区,
周山大道邙岭大道口,土桥村,1路,1.5,西工区,
土桥村,宋岭,1路,1.5,西工区,
宋岭,周山大道机场路口南,1路,1.5,孟津区,
周山大道机场路口南,飞机场候机楼,1路,1.5,老城区,
,,,,,
洛阳站,纱厂北路玄武门大街口,2路,1,西工区,
纱厂北路玄武门大街口,纱厂路口北,2路,1,西工区,
纱厂路口北,纱厂路口东,2路,1,西工区,
纱厂路口东,纱厂东路解放路口,2路,1,西工区,
纱厂东路解放路口,纱厂东路金谷园路口,2路,1,西工区,
纱厂东路金谷园路口,金谷园路健康东路口,2路,1,西工区,
金谷园路健康东路口,王城广场南,2路,1,西工区,
王城广场南,体育场路凯旋路口,2路,1,西工区,
体育场路凯旋路口,体育场路九都路口,2路,1,西工区,
体育场路九都路口,东下池,2路,1,西工区,
东下池,九都路解放路口西,2路,1,西工区,
九都路解放路口西,西下池,2路,1,西工区,
西下池,九都路王城大道口东,2路,1,西工区,
九都路王城大道口东,九都路王城大道口西,2路,1,西工区,
九都路王城大道口西,九都路涧东路口西,2路,1,西工区,
九都路涧东路口西,九都路上阳路口西,2路,1,西工区,
九都路上阳路口西,九都西路黄河路口西,2路,1,西工区,
九都西路黄河路口西,九都西路珠江路口西,2路,1,涧西区,
九都西路珠江路口西,九都西路丽新路口西,2路,1,涧西区,
九都西路丽新路口西,南昌路九都西路口南,2路,1,涧西区,
南昌路九都西路口南,南昌路丽春路口,2路,1,涧西区,
南昌路丽春路口,南昌路乐山路口北,2路,1,涧西区,
南昌路乐山路口北,南苑小区,2路,1,涧西区,
南苑小区,南苑路南昌路口,2路,1,涧西区,
南苑路南昌路口,创业路北口,2路,1,涧西区,
创业路北口,创业路海棠路口,2路,1,涧西区,
创业路海棠路口,创业路合欢路口,2路,1,涧西区,
创业路合欢路口,创业路希望路口,2路,1,涧西区,
创业路希望路口,芳泽路河洛路口,2路,1,涧西区,
芳泽路河洛路口,河洛路周山大道口,2路,1,涧西区,
河洛路周山大道口,河洛路侯天路口,2路,1,涧西区,
河洛路侯天路口,河洛路卓飞路口,2路,1,涧西区,
河洛路卓飞路口,凌波路河洛路口,2路,1,涧西区,
凌波路河洛路口,延光路翠微路口,2路,1,涧西区,
延光路翠微路口,延光路孙辛辅路口东,2路,1,涧西区,
延光路孙辛辅路口东,孙辛辅路滨河北路口,2路,1,涧西区,
孙辛辅路滨河北路口,滨河北路孙辛辅路口西,2路,1,涧西区,
,,,,,
高铁龙门站,伊洛路兴洛东街口东,3路,1.5,洛龙区,
