节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
凤塘中队,,101路,0
韩钢,,101路,0
三环,,101路,0
三环路口,,101路,0
大呈村,,101路,1
浮岗路口,,101路,0
火车站,,101路,0
德州路口,,101路,1
藏龙路口,,101路,2
枫一路口,,101路,1
陶瓷城,,101路,1
财富中心,,101路,0
卜蜂莲花,,101路,0
中银大厦,,101路,0
工商银行,,101路,0
潮州海关,,101路,0
联通大厦,,101路,1
金都园,,101路,2
金信大厦,,101路,2
保健院,,101路,0
汽车总站,,101路,0
河头,,101路,4
中心医院,,101路,3
城南小学,,101路,6
城新路口,,101路,9
南桥市场,,101路,6
桥东车站,,101路,1
慧如公园,,101路,1
韩山师院,,101路,0
韩师宿舍,,101路,0
东湖住宅区,,101路,0
,,,
茶背,,102路,0
伍全,,102路,0
田东,,102路,0
横沣,,102路,0
西坑,,102路,0
白茫洲,,102路,0
枫树员,,102路,0
埔头岭,,102路,0
白水,,102路,0
绿太阳景区(路口),,102路,0
登塘中学,,102路,0
登塘车站,,102路,1
瓦窑,,102路,2
古巷雨亭,,102路,1
古德路口,,102路,0
古长路口,,102路,0
长美市场,,102路,2
长美桥,,102路,0
月英池,,102路,1
枫溪铺尾,,102路,2
瓷兴路口,,102路,4
雄英大厦,,102路,0
易初莲花,,102路,0
中银大厦,,102路,0
工商银行,,102路,0
潮州海关,,102路,0
联通大厦,,102路,1
金都园,,102路,2
金信大厦,,102路,2
市保健院,,102路,2
汽车总站,,102路,0
河头,,102路,4
中心医院,,102路,3
城南小学,,102路,6
城新路口,,102路,9
南桥市场,,102路,6
桥东车站,,102路,1
慧如公园,,102路,1
韩山师院,,102路,0
高级技工学校,,102路,0
金山中学,,102路,0
检查站岭顶,,102路,0
粤运桥东站场,,102路,0
,,,
西湖公园,,电瓶车旅游D1路,8
许驸马府,,电瓶车旅游D1路,10
府学旧地,,电瓶车旅游D1路,4
海阳县儒学宫,,电瓶车旅游D1路,10
已略黄公祠,,电瓶车旅游D1路,10
开元广场,,电瓶车旅游D1路,12
下水门,,电瓶车旅游D1路,8
上水门,,电瓶车旅游D1路,8
北阁佛灯,,电瓶车旅游D1路,6
,,,
西湖公园,,电瓶车旅游D2路,8
海阳县儒学宫,,电瓶车旅游D2路,10
已略黄公祠,,电瓶车旅游D2路,10
开元广场,,电瓶车旅游D2路,12
下水门,,电瓶车旅游D2路,8
北阁佛灯,,电瓶车旅游D2路,6
,,,
滨江旅游停车场,,电瓶车旅游D3路,5
下水门,,电瓶车旅游D3路,8
竹木门,,电瓶车旅游D3路,6
上水门,,电瓶车旅游D3路,8
北阁佛灯,,电瓶车旅游D3路,6
,,,
北关旅游集散中心,,双层观光旅游巴士,2
西湖公园,,双层观光旅游巴士,8
汽车总站,,双层观光旅游巴士,0
市政府,,双层观光旅游巴士,0
人民广场,,双层观光旅游巴士,0
建设大厦,,双层观光旅游巴士,0
青龙古庙,,双层观光旅游巴士,4
腾瑞外滩湾,,双层观光旅游巴士,0
韩师西门(广济桥),,双层观光旅游巴士,0
滨江停车场,,双层观光旅游巴士,6
下水门,,双层观光旅游巴士,8
广济桥,,双层观光旅游巴士,12
上水门,,双层观光旅游巴士,8
北阁佛灯,,双层观光旅游巴士,6
金山码头,,双层观光旅游巴士,4
北关旅游集散中心,,双层观光旅游巴士,2
,,,
北关旅游集散中心,,微02路,2
来宜小学,,微02路,8
西湖公园,,微02路,8
许驸马府,,微02路,10
海阳县儒学宫,,微02路,10
开元寺,,微02路,12
,,,
水美李村,,201路,1
网地村,,201路,0
东岗村,,201路,0
横溪村,,201路,1
古五村,,201路,0
交警支队,,201路,0
宏天广场,,201路,0
国土局,,201路,1
金安陶瓷,,201路,0
大新乡,,201路,0
高级中学,,201路,1
市疾控中心,,201路,1
区检查院,,201路,0
城南中英文,,201路,0
万绿花园,,201路,0
电器城,,201路,0
绿榕市场,,201路,0
西园路口,,201路,2
中心医院,,201路,3
城南小学,,201路,6
城新路口,,201路,9
南桥市场,,201路,6
桥东车站,,201路,1
慧如公园,,201路,1
韩山师院,,201路,0
技工学校,,201路,0
金山中学,,201路,0
,,,
宝山中学,,105路,0
沙二,,105路,2
前陇路口,,105路,0
西林,,105路,2
前陇一村,,105路,0
古楼一村,,105路,1
池湖路口,,105路,0
枫溪广场东,,105路,0
奎元路口,,105路,0
市政府,,105路,0
口岸路,,105路,0
金都园,,105路,0
金信大厦,,105路,2
市保健院,,105路,2
汽车总站,,105路,0
河头,,105路,4
中心医院,,105路,3
城南小学,,105路,6
城新路口,,105路,9
桥南市场,,105路,7
桥东车站,,105路,0
慧如公园,,105路,1
韩山师院,,105路,0
高级技工学校,,105路,0
金山中学,,105路,0
,,,
意溪松林古寺,,10路,1
意溪坝街,,10路,1
意溪镇政府,,10路,3
麻仓,,10路,2
中津,,10路,4
下津,,10路,0
桥东医院,,10路,0
韩文公祠,,10路,0
维兰中学,,10路,1
南桥市场,,10路,6
潮州医院,,10路,0
永护路口,,10路,0
信怡园,,10路,1
粤潮花园,,10路,0
市交通局,,10路,0
国土局,,10路,0
大润发,,10路,0
发展银行,,10路,0
中国银行,,10路,0
国税局,,10路,0
高级中学,,10路,0
大新乡,,10路,0
,,,
市中心医院,,107路,3
交警支队,,107路,0
宏天广场,,107路,0
金安陶瓷,,107路,0
大新乡,,107路,0
高级中学,,107路,0
市疾控中心,,107路,0
区检查院,,107路,0
城南中英文,,107路,0
万绿花园,,107路,0
电器市场,,107路,0
绿榕市场,,107路,0
西园路,,107路,4
中心医院,,107路,3
城南小学,,107路,6
城新路口,,107路,9
趣春路口,,107路,0
南怡园,,107路,0
粤潮市场,,107路,0
商贸城,,107路,0
坤辉花园,,107路,0
建设大厦,,107路,0
海逸一号,,107路,0
南国明珠,,107路,0
粤运中心站,,107路,0
,,,
玉窖,,112路,4
智勇中学,,112路,1
鹤龙书图,,112路,3
凤塘中学,,112路,1
双美路口,,112路,0
山边,,112路,0
枫凤路口,,112路,0
古板头林下,,112路,0
古板头,,112路,0
蔡陇,,112路,1
池湖路口,,112路,0
卜蜂莲花,,112路,0
中银大厦,,112路,1
工商银行,,112路,0
潮州海关,,112路,0
联通大厦,,112路,0
金都园,,112路,0
金信大厦,,112路,1
市保健院,,112路,0
汽车总站,,112路,0
河头,,112路,4
中心医院,,112路,3
城南小学,,112路,6
城新路口,,112路,5
南桥市场,,112路,6
桥东车站,,112路,1
慧如公园,,112路,1
韩山师院,,112路,0
高级技工学校,,112路,0
金山中学,,112路,0
金山中学后门,,112路,0
潮州恒大城,,112路,0
,,,
高厝塘村,,116路,0
一八八医院,,116路,0
招呼站,,116路,0
区公安局,,116路,0
玉兰园,,116路,0
韩师分院,,116路,2
金龙市场,,116路,5
西荣路口,,116路,1
汽车总站,,116路,0
市保健院,,116路,0
金信大厦,,116路,1
金都园,,116路,0
联通大厦,,116路,0
口岸路,,116路,1
市政府,,116路,0
奎元路口,,116路,0
枫溪广场东,,116路,0
粤运中心站,,116路,0
,,,
卜蜂莲花,,微01路,0
奎元路口,,微01路,0
人民广场,,微01路,0
财政局,,微01路,0
市交通局,,微01路,0
粤潮花园,,微01路,0
信怡园,,微01路,0
永护路口,,微01路,0
潮州医院,,微01路,0
南桥市场,,微01路,6
桥东车站,,微01路,1
慧如公园,,微01路,1
韩山师院,,微01路,0
高级技工学校,,微01路,0
金山中学,,微01路,0
潮州恒大城(金中后门),,微01路,0
