前一节点,后一节点,线路名称,票价,区域属性
凤塘中队,韩钢,101路,2,
韩钢,三环,101路,2,
三环,三环路口,101路,2,
三环路口,大呈村,101路,2,
大呈村,浮岗路口,101路,2,
浮岗路口,火车站,101路,2,
火车站,德州路口,101路,2,
德州路口,藏龙路口,101路,2,
藏龙路口,枫一路口,101路,2,
枫一路口,陶瓷城,101路,2,
陶瓷城,财富中心,101路,2,
财富中心,卜蜂莲花,101路,2,
卜蜂莲花,中银大厦,101路,2,
中银大厦,工商银行,101路,2,
工商银行,潮州海关,101路,2,
潮州海关,联通大厦,101路,2,
联通大厦,金都园,101路,2,
金都园,金信大厦,101路,2,
金信大厦,保健院,101路,2,
保健院,汽车总站,101路,2,
汽车总站,河头,101路,2,
河头,中心医院,101路,2,
中心医院,城南小学,101路,2,
城南小学,城新路口,101路,2,
城新路口,南桥市场,101路,2,
南桥市场,桥东车站,101路,2,
桥东车站,慧如公园,101路,2,
慧如公园,韩山师院,101路,2,
韩山师院,韩师宿舍,101路,2,
韩师宿舍,东湖住宅区,101路,2,
,,,,
茶背,伍全,102路,6,
伍全,田东,102路,6,
田东,横沣,102路,6,
横沣,西坑,102路,6,
西坑,白茫洲,102路,6,
白茫洲,枫树员,102路,6,
枫树员,埔头岭,102路,6,
埔头岭,白水,102路,6,
白水,绿太阳景区(路口),102路,6,
绿太阳景区(路口),登塘中学,102路,6,
登塘中学,登塘车站,102路,6,
登塘车站,瓦窑,102路,6,
瓦窑,古巷雨亭,102路,6,
古巷雨亭,古德路口,102路,6,
古德路口,古长路口,102路,6,
古长路口,长美市场,102路,6,
长美市场,长美桥,102路,6,
长美桥,月英池,102路,6,
月英池,枫溪铺尾,102路,6,
枫溪铺尾,瓷兴路口,102路,6,
瓷兴路口,雄英大厦,102路,6,
雄英大厦,易初莲花,102路,6,
易初莲花,中银大厦,102路,6,
中银大厦,工商银行,102路,6,
工商银行,潮州海关,102路,6,
潮州海关,联通大厦,102路,6,
联通大厦,金都园,102路,6,
金都园,金信大厦,102路,6,
金信大厦,市保健院,102路,6,
市保健院,汽车总站,102路,6,
汽车总站,河头,102路,6,
河头,中心医院,102路,6,
中心医院,城南小学,102路,6,
城南小学,城新路口,102路,6,
城新路口,南桥市场,102路,6,
南桥市场,桥东车站,102路,6,
桥东车站,慧如公园,102路,6,
慧如公园,韩山师院,102路,6,
韩山师院,高级技工学校,102路,6,
高级技工学校,金山中学,102路,6,
金山中学,检查站岭顶,102路,6,
检查站岭顶,粤运桥东站场,102路,6,
,,,,
西湖公园,许驸马府,电瓶车旅游D1路,3,
许驸马府,府学旧地,电瓶车旅游D1路,3,
府学旧地,海阳县儒学宫,电瓶车旅游D1路,3,
海阳县儒学宫,已略黄公祠,电瓶车旅游D1路,3,
已略黄公祠,开元广场,电瓶车旅游D1路,3,
开元广场,下水门,电瓶车旅游D1路,3,
下水门,上水门,电瓶车旅游D1路,3,
上水门,北阁佛灯,电瓶车旅游D1路,3,
,,,,
西湖公园,海阳县儒学宫,电瓶车旅游D2路,3,
海阳县儒学宫,已略黄公祠,电瓶车旅游D2路,3,
已略黄公祠,开元广场,电瓶车旅游D2路,3,
开元广场,下水门,电瓶车旅游D2路,3,
下水门,北阁佛灯,电瓶车旅游D2路,3,
,,,,
滨江旅游停车场,下水门,电瓶车旅游D3路,3,
下水门,竹木门,电瓶车旅游D3路,3,
竹木门,上水门,电瓶车旅游D3路,3,
上水门,北阁佛灯,电瓶车旅游D3路,3,
,,,,
北关旅游集散中心,西湖公园,双层观光旅游巴士,20,
西湖公园,汽车总站,双层观光旅游巴士,20,
汽车总站,市政府,双层观光旅游巴士,20,
市政府,人民广场,双层观光旅游巴士,20,
人民广场,建设大厦,双层观光旅游巴士,20,
建设大厦,青龙古庙,双层观光旅游巴士,20,
青龙古庙,腾瑞外滩湾,双层观光旅游巴士,20,
腾瑞外滩湾,韩师西门(广济桥),双层观光旅游巴士,20,
韩师西门(广济桥),滨江停车场,双层观光旅游巴士,20,
滨江停车场,下水门,双层观光旅游巴士,20,
下水门,广济桥,双层观光旅游巴士,20,
广济桥,上水门,双层观光旅游巴士,20,
上水门,北阁佛灯,双层观光旅游巴士,20,
北阁佛灯,金山码头,双层观光旅游巴士,20,
金山码头,北关旅游集散中心,双层观光旅游巴士,20,
,,,,
北关旅游集散中心,来宜小学,微02路,3,
来宜小学,西湖公园,微02路,3,
西湖公园,许驸马府,微02路,3,
许驸马府,海阳县儒学宫,微02路,3,
海阳县儒学宫,开元寺,微02路,3,
,,,,
水美李村,网地村,201路,5,
网地村,东岗村,201路,5,
东岗村,横溪村,201路,5,
横溪村,古五村,201路,5,
古五村,交警支队,201路,5,
交警支队,宏天广场,201路,5,
宏天广场,国土局,201路,5,
国土局,金安陶瓷,201路,5,
金安陶瓷,大新乡,201路,5,
大新乡,高级中学,201路,5,
高级中学,市疾控中心,201路,5,
市疾控中心,区检查院,201路,5,
区检查院,城南中英文,201路,5,
城南中英文,万绿花园,201路,5,
万绿花园,电器城,201路,5,
电器城,绿榕市场,201路,5,
绿榕市场,西园路口,201路,5,
西园路口,中心医院,201路,5,
中心医院,城南小学,201路,5,
城南小学,城新路口,201路,5,
城新路口,南桥市场,201路,5,
南桥市场,桥东车站,201路,5,
桥东车站,慧如公园,201路,5,
慧如公园,韩山师院,201路,5,
韩山师院,技工学校,201路,5,
技工学校,金山中学,201路,5,
,,,,
宝山中学,沙二,105路,5,
沙二,前陇路口,105路,5,
前陇路口,西林,105路,5,
西林,前陇一村,105路,5,
前陇一村,古楼一村,105路,5,
古楼一村,池湖路口,105路,5,
池湖路口,枫溪广场东,105路,5,
枫溪广场东,奎元路口,105路,5,
奎元路口,市政府,105路,5,
市政府,口岸路,105路,5,
口岸路,金都园,105路,5,
金都园,金信大厦,105路,5,
金信大厦,市保健院,105路,5,
市保健院,汽车总站,105路,5,
汽车总站,河头,105路,5,
河头,中心医院,105路,5,
中心医院,城南小学,105路,5,
城南小学,城新路口,105路,5,
城新路口,桥南市场,105路,5,
桥南市场,桥东车站,105路,5,
桥东车站,慧如公园,105路,5,
慧如公园,韩山师院,105路,5,
韩山师院,高级技工学校,105路,5,
高级技工学校,金山中学,105路,5,
,,,,
意溪松林古寺,意溪坝街,10路,2,
意溪坝街,意溪镇政府,10路,2,
意溪镇政府,麻仓,10路,2,
麻仓,中津,10路,2,
中津,下津,10路,2,
下津,桥东医院,10路,2,
桥东医院,韩文公祠,10路,2,
韩文公祠,维兰中学,10路,2,
维兰中学,南桥市场,10路,2,
南桥市场,潮州医院,10路,2,
潮州医院,永护路口,10路,2,
永护路口,信怡园,10路,2,
信怡园,粤潮花园,10路,2,
粤潮花园,市交通局,10路,2,
市交通局,国土局,10路,2,
国土局,大润发,10路,2,
大润发,发展银行,10路,2,
发展银行,中国银行,10路,2,
中国银行,国税局,10路,2,
国税局,高级中学,10路,2,
高级中学,大新乡,10路,2,
,,,,
市中心医院,交警支队,107路,2,
交警支队,宏天广场,107路,2,
宏天广场,金安陶瓷,107路,2,
金安陶瓷,大新乡,107路,2,
大新乡,高级中学,107路,2,
高级中学,市疾控中心,107路,2,
市疾控中心,区检查院,107路,2,
区检查院,城南中英文,107路,2,
城南中英文,万绿花园,107路,2,
万绿花园,电器市场,107路,2,
电器市场,绿榕市场,107路,2,
绿榕市场,西园路,107路,2,
西园路,中心医院,107路,2,
中心医院,城南小学,107路,2,
城南小学,城新路口,107路,2,
城新路口,趣春路口,107路,2,
趣春路口,南怡园,107路,2,
南怡园,粤潮市场,107路,2,
粤潮市场,商贸城,107路,2,
商贸城,坤辉花园,107路,2,
坤辉花园,建设大厦,107路,2,
建设大厦,海逸一号,107路,2,
海逸一号,南国明珠,107路,2,
南国明珠,粤运中心站,107路,2,
,,,,
玉窖,智勇中学,112路,3,
智勇中学,鹤龙书图,112路,3,
鹤龙书图,凤塘中学,112路,3,
凤塘中学,双美路口,112路,3,
双美路口,山边,112路,3,
山边,枫凤路口,112路,3,
枫凤路口,古板头林下,112路,3,
古板头林下,古板头,112路,3,
古板头,蔡陇,112路,3,
蔡陇,池湖路口,112路,3,
池湖路口,卜蜂莲花,112路,3,
卜蜂莲花,中银大厦,112路,3,
中银大厦,工商银行,112路,3,
工商银行,潮州海关,112路,3,
潮州海关,联通大厦,112路,3,
联通大厦,金都园,112路,3,
金都园,金信大厦,112路,3,
金信大厦,市保健院,112路,3,
市保健院,汽车总站,112路,3,
汽车总站,河头,112路,3,
河头,中心医院,112路,3,
中心医院,城南小学,112路,3,
城南小学,城新路口,112路,3,
城新路口,南桥市场,112路,3,
南桥市场,桥东车站,112路,3,
桥东车站,慧如公园,112路,3,
慧如公园,韩山师院,112路,3,
韩山师院,高级技工学校,112路,3,
高级技工学校,金山中学,112路,3,
金山中学,金山中学后门,112路,3,
金山中学后门,潮州恒大城,112路,3,
,,,,
高厝塘村,一八八医院,116路,2,
一八八医院,招呼站,116路,2,
招呼站,区公安局,116路,2,
区公安局,玉兰园,116路,2,
玉兰园,韩师分院,116路,2,
韩师分院,金龙市场,116路,2,
金龙市场,西荣路口,116路,2,
西荣路口,汽车总站,116路,2,
汽车总站,市保健院,116路,2,
市保健院,金信大厦,116路,2,
金信大厦,金都园,116路,2,
金都园,联通大厦,116路,2,
联通大厦,口岸路,116路,2,
口岸路,市政府,116路,2,
市政府,奎元路口,116路,2,
奎元路口,枫溪广场东,116路,2,
枫溪广场东,粤运中心站,116路,2,
,,,,
卜蜂莲花,奎元路口,微01路,3,
奎元路口,人民广场,微01路,3,
人民广场,财政局,微01路,3,
财政局,市交通局,微01路,3,
市交通局,粤潮花园,微01路,3,
粤潮花园,信怡园,微01路,3,
信怡园,永护路口,微01路,3,
永护路口,潮州医院,微01路,3,
潮州医院,南桥市场,微01路,3,
南桥市场,桥东车站,微01路,3,
桥东车站,慧如公园,微01路,3,
慧如公园,韩山师院,微01路,3,
韩山师院,高级技工学校,微01路,3,
高级技工学校,金山中学,微01路,3,
金山中学,潮州恒大城(金中后门),微01路,3,
