节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
西门,鼓楼区,1路,6
湖头街,鼓楼区,1路,4
光荣路,鼓楼区,1路,0
陆庄,鼓楼区,1路,2
高峰桥,鼓楼区,1路,3
南街,鼓楼区,1路,21
道山路口,鼓楼区,1路,15
南门,鼓楼区,1路,6
茶亭,台江区,1路,0
洋头口,台江区,1路,0
省人民医院,台江区,1路,4
文化宫,台江区,1路,3
达道,台江区,1路,4
地铁达道站,台江区,1路,2
新玉环路,台江区,1路,3
安平小区,台江区,1路,3
闽江之心(台州步行街),台江区,1路,1
桥南,仓山区,1路,3
埔顶,仓山区,1路,3
龙津站,仓山区,1路,5
三叉街,仓山区,1路,2
三叉街新村,仓山区,1路,0
则徐大道盖山路口,仓山区,1路,0
白湖亭,仓山区,1路,0
,,,
火车站北广场,,2路,0
铁道医院,,2路,0
华林高架,,2路,0
湖塍,,2路,0
洋下新村,,2路,2
省图书馆,,2路,0
温泉路口,,2路,0
闽江饭店,,2路,3
蒙古营,,2路,3
龙华天桥,,2路,6
五一广场,,2路,5
市政务服务中心,,2路,0
茶亭公园,,2路,1
汇多利,,2路,2
市一医院,,2路,4
十四桥,,2路,4
闽江之心(台州步行街),,2路,1
朝阳路口,,2路,4
朝阳路,,2路,4
港头(朝阳路),,2路,5
中垱,,2路,6
美墩桥,,2路,4
过洲岛,,2路,4
华威大厦(江边村),,2路,0
东部办公区(石碑兜),,2路,0
仓山浦下,,2路,1
龙舟河,,2路,1
公交海峡国际会展中心西站,,2路,1
,,,
火车站南广场,,K3路,0
茶园,,K3路,2
电建二公司,,K3路,1
华林高架,,K3路,0
湖塍,,K3路,0
洋下新村,,K3路,2
省图书馆,,K3路,0
温泉路口,,K3路,0
闽江饭店,,K3路,3
蒙古营,,K3路,3
龙华天桥,,K3路,6
于山,,K3路,6
乌山路口,,K3路,7
福州市政府,,K3路,8
上海街道,,K3路,1
白马河,,K3路,1
宝龙城市广场,,K3路,1
祥坂路口,,K3路,1
福祥社区,,K3路,1
上浦路口,,K3路,0
市人才储备中心,,K3路,0
榕城广场,,K3路,0
福州金山中学,,K3路,0
金祥路金洲路口,,K3路,0
金洲南路金山地铁站,,K3路,0
卢滨路东,,K3路,0
卢滨路,,K3路,0
金山公园北门,,K3路,0
花溪路口,,K3路,0
滨州路北,,K3路,0
金山四期,,K3路,0
滨州路南,,K3路,0
中天社区,,K3路,0
金山金桔站,,K3路,0
,,,
九〇〇医院(原总院),,4路,2
西洪路,,4路,3
福屿天桥,,4路,0
黎明,,4路,0
市教院附中,,4路,1
菏泽,,4路,2
宝龙城市广场,,4路,1
浦东,,4路,3
华侨中学(红旗村),,4路,6
南禅山,,4路,5
福四中,,4路,4
师大(程埔头),,4路,3
跑马场,,4路,4
三叉街,,4路,3
三叉街新村,,4路,3
则徐大道盖山路口,,4路,0
后坂,,4路,0
地铁葫芦阵,,4路,0
盖山投资区,,4路,0
高旺路口,,4路,0
丰泉环保集团,,4路,0
,,,
火车站北广场,,5路,0
铁道医院,,5路,0
二环路斗门,,5路,1
电建二公司,,5路,1
省老年医院,,5路,0
省老干局,,5路,0
省农科院,,5路,0
树兜,,5路,0
古三座,,5路,0
闽江饭店,,5路,3
五四路口,,5路,1
旗汛口,,5路,6
三坊七巷,,5路,5
高峰桥,,5路,3
陆庄,,5路,2
柳桥,,5路,0
茶园山,,5路,0
福大北门,,5路,0
天骏小区,,5路,0
物构所,,5路,0
洪山桥,,5路,1
郭厝里,,5路,1
