前一节点,后一节点,线路名称,票价(元),间距(公里)
西门,湖头街,1路,1,0.211
湖头街,光荣路,1路,1,0.294
光荣路,陆庄,1路,1,0.462
陆庄,高峰桥,1路,1,0.149
高峰桥,南街,1路,1,1.3
南街,道山路口,1路,1,0.391
道山路口,南门,1路,1,0.42
南门,茶亭,1路,1,0.273
茶亭,洋头口,1路,1,0.516
洋头口,省人民医院,1路,1,0.559
省人民医院,文化宫,1路,1,0.444
文化宫,达道,1路,1,0.397
达道,地铁达道站,1路,1,0.251
地铁达道站,新玉环路,1路,1,0.349
新玉环路,安平小区,1路,1,0.171
安平小区,闽江之心(台州步行街),1路,1,0.383
闽江之心(台州步行街),桥南,1路,1,1.2
桥南,埔顶,1路,1,0.331
埔顶,龙津站,1路,1,0.268
龙津站,三叉街,1路,1,0.524
三叉街,三叉街新村,1路,1,0.43
三叉街新村,则徐大道盖山路口,1路,1,0.554
则徐大道盖山路口,白湖亭,1路,1,0.394
,,,,
火车站北广场,铁道医院,2路,1,1.3
铁道医院,华林高架,2路,1,0.371
华林高架,湖塍,2路,1,0.404
湖塍,洋下新村,2路,1,0.377
洋下新村,省图书馆,2路,1,0.812
省图书馆,温泉路口,2路,1,0.219
温泉路口,闽江饭店,2路,1,0.383
闽江饭店,蒙古营,2路,1,0.691
蒙古营,龙华天桥,2路,1,0.571
龙华天桥,五一广场,2路,1,0.871
五一广场,市政务服务中心,2路,1,0.360 
市政务服务中心,茶亭公园,2路,1,0.494
茶亭公园,汇多利,2路,1,0.396
汇多利,市一医院,2路,1,0.603
市一医院,十四桥,2路,1,0.237
十四桥,闽江之心(台州步行街),2路,1,0.915
闽江之心(台州步行街),朝阳路口,2路,1,1.2
朝阳路口,朝阳路,2路,1,0.213
朝阳路,港头(朝阳路),2路,1,0.097
港头(朝阳路),中垱,2路,1,0.372
中垱,美墩桥,2路,1,0.585
美墩桥,过洲岛,2路,1,0.198
过洲岛,华威大厦(江边村),2路,1,0.858
华威大厦(江边村),东部办公区(石碑兜),2路,1,0.719
东部办公区(石碑兜),仓山浦下,2路,1,0.462
仓山浦下,龙舟河,2路,1,0.465
龙舟河,公交海峡国际会展中心西站,2路,1,0.769
,,,,
火车站南广场,茶园,K3路,1,0.337
茶园,电建二公司,K3路,1,0.363
电建二公司,华林高架,K3路,1,0.402
华林高架,湖塍,K3路,1,0.404
湖塍,洋下新村,K3路,1,0.377
洋下新村,省图书馆,K3路,1,0.812
省图书馆,温泉路口,K3路,1,0.219
温泉路口,闽江饭店,K3路,1,0.383
闽江饭店,蒙古营,K3路,1,0.691
蒙古营,龙华天桥,K3路,1,0.571
龙华天桥,于山,K3路,1,0.771
于山,乌山路口,K3路,1,0.511
乌山路口,福州市政府,K3路,1,0.460 
福州市政府,上海街道,K3路,1,1.000 
上海街道,白马河,K3路,1,0.373
白马河,宝龙城市广场,K3路,1,0.506
宝龙城市广场,祥坂路口,K3路,1,0.436
