节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
公交一路新村首末站,姑苏区,1路,0,0,0
枫津路石湖路南,姑苏区,1路,0,0,0
枫津路,姑苏区,1路,0,0,0
吴中汽车站南,姑苏区,1路,0,0,0
石湖东路,姑苏区,1路,0,0,0
吴中商城,姑苏区,1路,0,0,0
宝带路,姑苏区,1路,0,0,0
吴中区人民医院,姑苏区,1路,0,0,0
南门二村,姑苏区,1路,0,0,0
团结桥,姑苏区,1路,0,0,0
团结桥北,姑苏区,1路,1,0,0
人民桥南,姑苏区,1路,1,1,2
南门,姑苏区,1路,5,0,7
工人文化宫,姑苏区,1路,4,4,9
三元坊,姑苏区,1路,5,6,12
苏州图书馆,姑苏区,1路,7,2,11
饮马桥,姑苏区,1路,3,2,10
乐桥北,姑苏区,1路,10,4,19
察院场观前街西,姑苏区,1路,10,1,19
接驾桥,姑苏区,1路,8,1,17
北寺塔,姑苏区,1路,4,1,14
平门,姑苏区,1路,4,1,7
苏州站北广场公交枢纽站,姑苏区,1路,0,0,1
,,,,,
津梁街首末站,吴中区,2路,0,0,0
东湖林语,吴中区,2路,0,0,0
西交大苏州附中,吴中区,2路,0,0,0
园区二实小,吴中区,2路,0,0,0
东湖大郡二期,吴中区,2路,0,0,0
湖东邻里中心,吴中区,2路,0,0,0
会心街,吴中区,2路,0,0,0
圆融大厦,吴中区,2路,0,0,0
园区行政中心,吴中区,2路,0,0,0
九龙医院南,吴中区,2路,0,0,0
现代大道星湖街,吴中区,2路,0,0,0
国际博览中心东,吴中区,2路,0,0,0
国际博览中心,吴中区,2路,0,0,0
艺术中心北,吴中区,2路,0,0,0
凤鸣街南,吴中区,2路,0,0,0
沁苑小区,吴中区,2路,0,0,0
新加花园,吴中区,2路,0,0,0
新城邻里中心,吴中区,2路,0,0,0
新城花园,吴中区,2路,0,0,0
印象城北,吴中区,2路,0,0,0
东港二村,虎丘区,2路,0,0,0
现代大道西,姑苏区,2路,0,0,0
相门新村,姑苏区,2路,0,0,0
苏大北校区东,姑苏区,2路,0,0,1
苏大理想眼科医院,姑苏区,2路,2,0,4
相门,姑苏区,2路,4,0,10
市一中,姑苏区,2路,4,0,10
乐桥,姑苏区,2路,3,0,13
养育巷,姑苏区,2路,7,1,15
学士街,姑苏区,2路,7,3,20
阊胥路,姑苏区,2路,1,0,2
烽火路北,姑苏区,2路,0,0,0
彩香新村北,姑苏区,2路,0,0,0
彩香新村西,姑苏区,2路,0,0,0
彩虹新村,姑苏区,2路,0,0,2
附二医院,虎丘区,2路,2,2,0
新城花园酒店,虎丘区,2路,0,0,0
锦华苑,虎丘区,2路,0,0,0
新地中心北,虎丘区,2路,0,0,0
百合花公寓,虎丘区,2路,0,0,0
狮子山,虎丘区,2路,0,0,0
御花园,虎丘区,2路,0,0,0
馨泰花园西出口,虎丘区,2路,0,0,0
新区一中,虎丘区,2路,0,0,0
新升新苑南,虎丘区,2路,0,0,0
新区水厂,虎丘区,2路,0,0,0
竹园路金枫路西,吴中区,2路,0,0,0
新华路,吴中区,2路,0,0,0
竹园路金山南路东(招呼站),吴中区,2路,0,0,0
中华园大酒店,吴中区,2路,0,0,0
天平大酒店,吴中区,2路,0,0,0
木渎天虹,吴中区,2路,0,0,0
木渎,吴中区,2路,0,0,0
木渎人民医院,吴中区,2路,0,0,0
木渎古镇严家花园,吴中区,2路,0,0,0
,,,,,
汽车南站公交换乘枢纽,姑苏区,3路,0,0,0
汽车南站东,姑苏区,3路,0,0,0
南环桥,姑苏区,3路,0,0,0
杨枝塘东,虎丘区,3路,0,0,0
东振路西,虎丘区,3路,0,0,0
金鸡湖大道西,虎丘区,3路,0,0,0
葑门换乘站东,虎丘区,3路,0,0,0
苏大东校区2,虎丘区,3路,0,0,0
苏大东校区(招呼站),虎丘区,3路,0,0,0
徐家浜,虎丘区,3路,0,0,0
相门新村,虎丘区,3路,0,0,0
现代大道西,虎丘区,3路,0,0,0
东港新村2,虎丘区,3路,0,0,0
向阳桥南,虎丘区,3路,0,0,5
苏安新村,虎丘区,3路,0,0,3
上高路,相城区,3路,0,0,0
苏州国际外语学校,相城区,3路,0,0,0
中翔家电小商品市场,相城区,3路,0,0,0
夏圩(招呼站),相城区,3路,0,0,0
相城区行政中心西,相城区,3路,0,0,0
相城大道春申湖路南,相城区,3路,0,0,0
苏州家具博览中心,相城区,3路,0,0,0
新天地家具,相城区,3路,0,0,0
汇海隆家具世博广场,相城区,3路,0,0,0
相城大道泰元路南,相城区,3路,0,0,0
元和科技园,相城区,3路,0,0,0
相城大道太阳路,相城区,3路,0,0,0
苏州高铁吾悦广场,相城区,3路,0,0,0
相融路胡巷街北,相城区,3路,0,0,0
相融大厦东,相城区,3路,0,0,0
京沪高铁苏州北站,相城区,3路,0,0,0
澄阳路南天成路,相城区,3路,0,0,0
联平路首末站,相城区,3路,0,0,0
,,,,,
湖畔花园首末站,吴中区,4路,0,0,0
新加花园东,吴中区,4路,0,0,0
新加花园,吴中区,4路,0,0,0
星海街现代大道,吴中区,4路,0,0,0
都市花园,吴中区,4路,0,0,0
星海生活广场,吴中区,4路,0,0,0
师惠坊,吴中区,4路,0,0,0
中央公园,吴中区,4路,0,0,1
海关大楼,吴中区,4路,1,0,1
韶山花园,虎丘区,4路,1,0,1
东环路,虎丘区,4路,1,0,1
徐家浜,虎丘区,4路,1,0,1
苏大东校区2,虎丘区,4路,0,0,1
葑门换乘站东,姑苏区,4路,0,0,0
