前一节点,后一节点,线路名称,票价,区域属性,间距(km)
公交一路新村首末站,枫津路石湖路南,1路,2,姑苏区,
枫津路石湖路南,枫津路,1路,2,姑苏区,
枫津路,吴中汽车站南,1路,2,姑苏区,
吴中汽车站南,石湖东路,1路,2,姑苏区,
石湖东路,吴中商城,1路,2,姑苏区,
吴中商城,宝带路,1路,2,姑苏区,
宝带路,吴中区人民医院,1路,2,姑苏区,
吴中区人民医院,南门二村,1路,2,姑苏区,
南门二村,团结桥,1路,2,姑苏区,
团结桥,团结桥北,1路,2,姑苏区,
团结桥北,人民桥南,1路,2,姑苏区,
人民桥南,南门,1路,2,姑苏区,
南门,工人文化宫,1路,2,姑苏区,
工人文化宫,三元坊,1路,2,姑苏区,
三元坊,苏州图书馆,1路,2,姑苏区,
苏州图书馆,饮马桥,1路,2,姑苏区,
饮马桥,乐桥北,1路,2,姑苏区,
乐桥北,察院场观前街西,1路,2,姑苏区,
察院场观前街西,接驾桥,1路,2,姑苏区,
接驾桥,北寺塔,1路,2,姑苏区,
北寺塔,平门,1路,2,姑苏区,
平门,苏州站北广场公交枢纽站,1路,2,姑苏区,
,,,,,
津梁街首末站,东湖林语,2路,2,吴中区,
东湖林语,西交大苏州附中,2路,2,吴中区,
西交大苏州附中,园区二实小,2路,2,吴中区,
园区二实小,东湖大郡二期,2路,2,吴中区,
东湖大郡二期,湖东邻里中心,2路,2,吴中区,
湖东邻里中心,会心街,2路,2,吴中区,
会心街,圆融大厦,2路,2,吴中区,
圆融大厦,园区行政中心,2路,2,吴中区,
园区行政中心,九龙医院南,2路,2,吴中区,
九龙医院南,现代大道星湖街,2路,2,吴中区,
现代大道星湖街,国际博览中心东,2路,2,吴中区,
国际博览中心东,国际博览中心,2路,2,吴中区,
国际博览中心,艺术中心北,2路,2,吴中区,
艺术中心北,凤鸣街南,2路,2,吴中区,
凤鸣街南,沁苑小区,2路,2,吴中区,
沁苑小区,新加花园,2路,2,吴中区,
新加花园,新城邻里中心,2路,2,吴中区,
新城邻里中心,新城花园,2路,2,吴中区,
新城花园,印象城北,2路,2,吴中区,
印象城北,东港二村,2路,2,吴中区,
东港二村,现代大道西,2路,2,虎丘区,
现代大道西,相门新村,2路,2,姑苏区,
相门新村,苏大北校区东,2路,2,姑苏区,
苏大北校区东,苏大理想眼科医院,2路,2,姑苏区,
苏大理想眼科医院,相门,2路,2,姑苏区,
相门,市一中,2路,2,姑苏区,
市一中,乐桥,2路,2,姑苏区,
乐桥,养育巷,2路,2,姑苏区,
养育巷,学士街,2路,2,姑苏区,
学士街,阊胥路,2路,2,姑苏区,
阊胥路,烽火路北,2路,2,姑苏区,
烽火路北,彩香新村北,2路,2,姑苏区,
彩香新村北,彩香新村西,2路,2,姑苏区,
彩香新村西,彩虹新村,2路,2,姑苏区,
彩虹新村,附二医院,2路,2,姑苏区,
附二医院,新城花园酒店,2路,2,虎丘区,
新城花园酒店,锦华苑,2路,2,虎丘区,
锦华苑,新地中心北,2路,2,虎丘区,
新地中心北,百合花公寓,2路,2,虎丘区,
百合花公寓,狮子山,2路,2,虎丘区,
狮子山,御花园,2路,2,虎丘区,
御花园,馨泰花园西出口,2路,2,虎丘区,
馨泰花园西出口,新区一中,2路,2,虎丘区,
新区一中,新升新苑南,2路,2,虎丘区,
